Genome	taxID	taxLvl	seqLvl	ANI	Completeness	Contamination	Contigs	N50	GC	Coding_density	Predicted_genes	Lowest	RTLpath	Mash	Dada2	Centrifuge	Kaiju	CheckM	
A18_S18_contigs	80852	species	species	95.71	100.00	129.84	10789	3293	39.3	87.63	20730	80852	80852	80852	2	641	511678	2
Thermococcus_sp_ES1_genomic	582419	species	species	100.00	94.55	0.50	1	1957743	40.3	91.66	2136	582419	582419	582419	2157	582419	582419	28890
Leuconostoc_lactis_strain_WiKim40_genomic	1246	species	species	100.00	99.83	0.00	4	1737502	43.1	88.62	1699	1246	1246	1246	1243	1246	1246	186826
Salinispora_arenicola_CNS-205_genomic	1760	class	class	100.00	100.00	0.00	1	5786362	69.5	87.27	5095	1760	168697	168697	168694	168697	168697	2037
SP010_S4_contigs	91347	order	order	96.97	99.89	0.82	722	19656	55.1	87.23	5098	91347	28151	1884636	2	28151	28151	543
Candidatus_Nitrosopelagicus_brevis_CN25_genomic	338190	family	family	100.00	99.51	0.00	1	1232129	33.2	93.85	1470	338190	338191	1410606	338191	338190	651137	2157
Kangiella_geojedonensis_strain_YCS-5_genomic	914150	species	species	100.00	100.00	0.62	1	2495243	43.8	90.75	2287	914150	914150	914150	1	1236	261963	1236
Celeribacter_marinus_strain_IMCC12053_genomic	1397108	species	species	100.00	99.24	0.30	1	3096706	56.2	90.08	3100	1397108	1397108	1397108	875170	31989	31989	31989
Sphingopyxis_alaskensis_RB2256_genomic	117207	species	species	100.00	99.98	0.00	2	3345170	65.5	90.25	3240	117207	117207	117207	1	117207	117207	204457
Thiomicrospira_crunogena_XCL-2_genomic	39765	species	species	100.00	99.39	0.00	1	2427735	43.1	90.52	2267	39765	39765	39765	1	39765	39765	1224
Pyrococcus_horikoshii_OT3_genomic	53953	species	species	100.00	100.00	0.00	1	1738506	41.9	92.02	1881	53953	53953	53953	2260	53953	53953	28890
A2_S2_contigs	40269	species	species	99.83	98.13	2.90	2745	5363	39.1	86.29	5804	40269	40269	40269	2	40269	40269	641
Actinoalloteichus_hymeniacidonis_strain_HPA177_DSM_45092_genomic	1760	class	class	100.00	100.00	0.97	1	6306387	68.1	87.29	5393	1760	340345	340345	1	1760	2070	2037
Moorea_producens_PAL-8-15-08-1_genomic	1155739	species	species	100.00	99.26	1.37	2	9672758	43.5	77.23	7581	1155739	1155739	1155739	1117	1155739	1155739	1117
A1_S1_contigs	40269	species	species	99.66	96.38	3.34	2619	4715	38.9	86.04	5894	40269	40269	40269	1236	40269	40269	641
Candidatus_Pelagibacter_ubique_HTCC1062_genomic	28211	class	class	100.00	100.00	0.47	1	1308760	29.7	96.11	1352	28211	198252	198252	28211	198252	198252	766
Sphingopyxis_sp_LPB0140_genomic	41297	family	family	100.00	98.05	0.85	1	2533042	46.1	91.55	2367	41297	41297	1913578	1434046	28211	41297	204457
Saprospira_grandis_str_Lewin_genomic	1008	species	species	100.00	99.50	0.25	2	4345237	46.4	83.27	3488	1008	1008	1008	1	1008	1008	976
Thalassotalea_sp_LPB0090_genomic	1518149	genus	genus	100.00	97.98	1.29	1	3861671	38.8	87.58	3306	1518149	1518149	1763536	1518149	135622	1535422	1236
Edwardsiella_tarda_EIB202_genomic	91347	order	order	100.00	96.84	0.25	2	3760463	59.7	85.13	3331	91347	636	636	1	636	636	543
A-H-1309-4-4_S6_contigs	80852	species	species	98.70	99.84	1.24	281	270893	38.3	87.01	4311	80852	80852	80852	1	511678	511678	641
Jeotgalibacillus_sp_D5_genomic	1385	order	order	100.00	99.12	6.18	2	3516439	42.4	85.35	4345	1385	1385	1508404	157226	186817	186817	91061
Aliivibrio_salmonicida_LFI1238_genomic	40269	species	species	100.00	99.39	1.71	6	3325165	39.0	86.48	4488	40269	40269	40269	511678	40269	40269	641
Spirochaeta_thermophila_DSM_6578_genomic	154	species	species	100.00	100.00	0.00	1	2560223	60.9	93.77	2312	154	154	154	146	154	154	203692
Draconibacterium_orientale_strain_FH5_genomic	1168034	species	species	100.00	99.89	3.06	1	5132076	41.3	86.98	4231	1168034	1168034	1168034	1471399	1168034	1168034	2
Synechococcus_sp_KORDI-100_genomic	1280380	species	species	100.00	99.46	0.00	1	2789001	57.5	88.82	3013	1280380	1280380	1280380	1	1280380	1280380	1117
Prochlorococcus_marinus_str_NATL2A_genomic	1219	species	species	100.00	98.64	0.00	1	1842900	35.1	87.16	2117	1219	1219	1219	1117	1219	1219	1117
Piscirickettsia_salmonis_strain_PM21567A_genomic	1238	species	species	100.00	98.81	0.00	6	3042830	39.7	83.28	3490	1238	1238	1238	1	1238	1238	1236
38_S5_contigs	99286	species	species	96.71	99.29	0.47	186	271952	34.2	87.21	3297	99286	99286	99286	1	99286	99286	49546
Francisella_sp_FSC1006_genomic	1547445	species	species	100.00	99.71	0.00	1	2015988	32.4	92.11	1953	1547445	1547445	1547445	1	1547445	1547445	1236
Vibrio_scophthalmi_strain_VS-05_genomic	45658	species	species	100.00	99.76	0.18	4	3199837	44.8	85.60	4329	45658	45658	45658	662	45658	662	662
Alteromonas_macleodii_ATCC_27126_genomic	28108	species	species	100.00	99.66	0.51	1	4653852	44.7	88.24	3964	28108	28108	28108	1	28108	28108	1236
A4_S4_contigs	40269	species	species	99.65	96.27	2.18	1163	6233	39.0	87.42	4401	40269	40269	40269	511678	40269	40269	641
Weissella_ceti_strain_WS105_genomic	759620	species	species	100.00	97.68	0.00	1	1390398	40.7	86.45	1349	759620	759620	759620	759620	759620	759620	186826
Altererythrobacter_namhicola_strain_JCM_16345_genomic	645517	species	species	100.00	99.54	0.00	1	2591680	65.0	92.69	2517	645517	645517	645517	361177	204457	204457	204457
Corynebacterium_maris_DSM_45190_genomic	1760	class	class	100.00	99.12	0.44	2	2787574	66.6	89.63	2608	1760	575200	575200	1716	575200	575200	2037
Flavobacteriaceae_bacterium_UJ101_genomic	1150389	species	species	100.00	100.00	0.00	1	3074210	30.7	91.36	2685	1150389	1150389	1150389	1	49546	49546	2
T-232_S7_contigs	669041	species	species	98.95	99.44	0.00	435	50768	31.2	87.68	2643	669041	669041	669041	976	49546	49546	49546
Muricauda_lutaonensis_strain_CC-HSB-11_genomic	516051	species	species	100.00	99.01	0.47	1	3274260	45.0	91.99	3058	516051	516051	516051	111500	49546	49546	1
Alteromonas_stellipolaris_strain_PQQ-44_genomic	226	genus	genus	100.00	99.84	0.67	1	4721862	43.6	88.39	4052	226	715451	233316	1	715451	715451	1236
Cellulophaga_algicola_DSM_14237_genomic	59600	species	species	100.00	99.67	0.71	1	4888354	33.8	88.63	4280	59600	59600	59600	1	59600	59600	1
Krokinobacter_sp_4H-3-7-5_genomic	983548	species	species	100.00	99.62	0.00	1	3389994	37.3	90.35	2993	983548	983548	983548	326319	983548	983548	1
Pseudoalteromonas_translucida_KMM_520_genomic	53246	genus	genus	100.00	100.00	0.87	2	3390388	40.1	87.23	3676	53246	228	166935	1	228	228	1236
Hyphomonas_sp_Mor2_genomic	1906738	species	species	100.00	98.27	0.81	1	3628092	58.1	91.90	3475	1906738	1906738	1906738	1	28211	69657	28211
Thalassolituus_oleivorans_strain_K188_genomic	187493	species	species	100.00	99.48	1.49	1	3909700	46.6	90.38	3580	187493	187493	187493	187492	187493	187493	1236
Shewanella_baltica_OS117_genomic	62322	species	species	100.00	99.84	0.00	4	5242964	46.0	84.56	4908	62322	62322	62322	1	62322	62322	135622
Nautilia_profundicola_AmH_genomic	244787	species	species	100.00	99.59	0.41	1	1676445	33.5	93.45	1737	244787	244787	244787	191291	244787	244787	2
V36_S4_contigs	29497	species	species	97.71	99.86	0.48	469	149321	44.3	84.91	5578	29497	29497	29497	1236	662	662	641
Halomonas_sp_A3H3_genomic	2745	genus	genus	100.00	99.86	1.03	100	107236	54.8	88.18	5211	2745	1380358	1346287	1236	1380358	1380358	1236
Rhodobacter_sphaeroides_strain_MBTLJ-13_genomic	1063	species	species	100.00	99.39	0.00	7	3188543	68.8	87.46	4405	1063	1063	1063	1060	1063	1063	31989
Alcanivorax_sp_W11-5_genomic	1306787	species	species	100.00	99.26	0.56	1	4168427	62.6	89.85	3725	1306787	1306787	1306787	59753	1306787	1306787	1236
Prochlorococcus_marinus_str_MIT_9215_genomic	1219	species	species	100.00	99.73	0.27	1	1738791	31.1	89.68	1986	1219	1219	1219	1117	1219	1219	1117
Luteimonas_sp_JM171_genomic	1896164	species	species	100.00	99.20	0.63	4	2563090	69.1	92.05	2762	1896164	1896164	1896164	83614	32033	32033	32033
Vibrio_anguillarum_775_genomic	55601	species	species	100.00	99.86	0.28	2	3063905	44.5	86.91	3681	55601	55601	55601	1	55601	55601	641
Rhodococcus_sp_WMMA185_genomic	1760	class	class	100.00	99.28	0.15	1	4444449	64.1	90.22	4007	1760	679318	679318	1	1827	1827	2037
Synechococcus_sp_KORDI_52_genomic	585425	species	species	100.00	100.00	0.00	1	2572070	59.1	87.57	2774	585425	585425	585425	1117	585425	585425	1117
MR4-25-2B_S6_contigs	286	genus	genus	91.02	100.00	0.45	94	276171	58.9	88.55	5778	286	286	1	286	286	286	72274
Winogradskyella_sp_PG-2_genomic	754409	species	species	100.00	99.67	0.54	1	3811480	32.2	91.31	3492	754409	754409	754409	1	49546	200644	1
5_S5_contigs	55601	species	species	99.91	99.45	0.87	337	52703	44.5	86.96	3805	55601	55601	55601	1236	55601	55601	641
Bacillus_infantis_NRRL_B-14911_genomic	1	NA	NA	100.00	98.36	1.23	1	4884714	46.0	84.42	4813	1	324767	324767	55087	324767	324767	186817
T-219_S4_contigs	669041	species	species	98.58	98.77	0.17	226	57551	30.4	89.19	2526	669041	669041	669041	2	49546	49546	49546
Maribacter_sp_1_2014MBL_MicDiv_genomic	252356	genus	genus	100.00	99.67	1.06	1	4399612	35.9	91.81	3777	252356	252356	1644130	252356	252356	444515	1
Vibrio_natriegens_strain_CCUG_16371_genomic	662	genus	genus	100.00	99.87	2.39	2	3311485	45.0	85.54	4532	662	1116375	691	1	1116375	1116375	662
Teredinibacter_turnerae_T7901_genomic	2426	species	species	100.00	100.00	0.00	1	5193165	50.9	87.22	4218	2426	2426	2426	2425	2426	2426	1236
Vibrio_anguillarum_strain_90-11-286_genomic	55601	species	species	100.00	100.00	0.41	2	3048854	44.4	86.38	3822	55601	55601	55601	662	55601	55601	641
Hydrogenophaga_sp_LPB0072_genomic	1763535	species	species	100.00	99.45	0.23	1	4944133	61.3	89.71	4614	1763535	1763535	1763535	47420	80864	80864	80840
Psychrobacter_sp_P11G3_genomic	497	genus	genus	100.00	99.95	1.19	7	2057036	42.8	82.74	2647	497	1298608	1699623	1	1298608	1298608	72274
Halogeometricum_borinquense_DSM_11551_genomic	183963	class	class	100.00	99.92	0.05	6	2820544	59.9	87.14	3954	183963	60847	60847	60846	60847	60847	2236
Vibrio_campbellii_ATCC_BAA-1116_genomic	680	species	species	100.00	99.74	0.35	3	3765351	45.4	85.06	5638	680	680	680	1	680	680	662
Thermotoga_maritima_MSB8_2_genomic	2336	species	species	100.00	100.00	3.51	1	1869645	46.2	95.00	1850	2336	2336	2336	1	2336	2336	2
Desulfovibrio_hydrothermalis_AM13_genomic	191026	species	species	100.00	100.00	0.00	3	3418665	45.2	87.08	3245	191026	191026	191026	872	191026	191026	28221
Rhodothermus_marinus_DSM_4252_genomic	29549	species	species	100.00	100.00	0.00	2	3261604	64.3	91.89	2922	29549	29549	29549	29548	29549	29549	2
Psychrobacter_sp_P11F6_genomic	497	genus	genus	100.00	100.00	0.27	3	2497360	42.8	82.37	2862	497	1298607	1699621	1	1298607	1298607	72274
Octadecabacter_arcticus_238_genomic	53946	species	species	100.00	99.29	0.91	3	5200279	55.1	86.97	6050	53946	53946	53946	53945	53946	53946	31989
bacterium_2013Arg42i_strain_2013Ark11_genomic	1561003	species	species	100.00	86.69	0.00	13	245273	35.7	81.69	1560	1561003	28216	1561003	28216	1224	1224	1224
Vw27_S8_contigs	80852	species	species	98.58	99.84	3.15	1116	11800	38.9	87.48	4735	80852	80852	80852	641	511678	511678	641
Halolamina_sediminis_strain_halo7_genomic	183963	class	class	100.00	96.58	0.38	1	2835859	67.9	88.93	2886	183963	1380430	1480675	1075397	1380430	1380430	2236
Cupriavidus_sp_USMAA1020_genomic	367825	species	species	100.00	99.94	1.63	3	4383984	68.5	86.01	7106	367825	367825	367825	106589	119060	106589	119060
Prochlorococcus_marinus_bv_HNLC2_genomic	613199	species	genus	80.27	94.57	0.54	28	118650	30.4	88.69	1763	613199	613199	1	1	613199	613199	1117
Bacteriovorax_marinus_SJ_genomic	97084	species	species	100.00	95.09	1.79	2	3435933	36.7	93.18	3279	97084	97084	97084	1652133	97084	97084	2
Cellulophaga_baltica_NN016038_genomic	76594	species	species	100.00	99.67	0.38	1	4560541	34.7	90.39	4005	76594	76594	76594	1	76594	76594	1
AW19M33_S12_contigs	1760	class	class	86.76	100.00	0.00	116	151927	70.7	89.95	4508	1760	440482	1	43676	440482	440482	2037
R2A2_S5_contigs	99286	species	species	96.60	99.29	0.35	241	303519	34.1	87.35	3391	99286	99286	99286	1	99286	99286	49546
Shewanella_violacea_DSS12_genomic	60217	species	species	100.00	99.84	0.00	1	4962099	44.7	81.70	4087	60217	60217	60217	22	60217	60217	135622
Altererythrobacter_marensis_strain_KCTC_22370_genomic	204457	order	order	100.00	99.48	0.62	1	2885034	64.7	92.08	2701	204457	204457	543877	1	41297	204457	204457
Methanopyrus_kandleri_AV19_genomic	2320	species	genus	90.56	96.74	1.60	1	1694970	61.2	90.39	1814	2320	2320	1	2157	2320	2320	28890
Synechococcus_sp_WH_8102_genomic	84588	species	species	100.00	99.46	0.00	1	2434429	59.4	90.29	2719	84588	84588	84588	1	84588	84588	1117
Aciduliprofundum_sp_MAR08-339_genomic	2301	order	order	100.00	100.00	0.00	1	1437091	44.1	94.48	1534	2301	673860	673860	482135	673860	673860	28890
18_S4_contigs	29497	species	species	97.57	99.98	0.71	249	497132	43.8	85.42	5007	29497	29497	29497	2	662	662	641
Simiduia_agarivorans_SA1_genomic	447471	species	species	100.00	100.00	0.65	1	4300227	55.8	90.78	3837	447471	447471	447471	1	447471	447471	1236
