Genome	taxID	taxName	taxLvl	seqLvl	ANI	Completeness	Contamination	Strain_heterogeneity	Genome_size	Contigs	N50	GC	Coding_density	Predicted_genes	Lowest	RTLpath	Mash	Dada2	Centrifuge	Kaiju	CheckM	
LjRoot148	358220	Acidovorax sp. KKS102	species	species	97.52	99.56	0.02	0.00	5028857	22	531914	65.0	89.86	4549	358220	358220	12916	12916	358220	358220	80840
Chlamy14	40323	Stenotrophomonas	genus	genus	96.97	100.00	100.00	0.00	9409795	61	279228	50.7	89.67	8484	40323	40323	2	40323	2	2	1
Chlamy198	80864	Comamonadaceae	family	family	85.80	99.77	0.85	40.00	5619426	19	458234	67.1	92.10	5248	80864	80864	1	1	80840	80864	80840
3934_AC	216778	Stenotrophomonas rhizophila	species	species	97.89	99.89	0.04	0.00	4225834	19	476340	66.8	89.90	3703	216778	216778	216778	1	40323	40323	32033
LjRoot85	1882774	Variovorax sp. CF079	species	species	97.88	100.00	1.92	54.55	8216419	145	157071	66.5	90.25	7973	1882774	1882774	1882774	34072	80840	80864	80840
3934_CQ	91347	Enterobacterales	order	order	97.88	99.94	0.11	0.00	6010951	67	174594	53.7	86.79	5433	91347	47917	613	543	47917	47917	543
3823_AG	82115	Rhizobiaceae	family	family	97.95	99.94	0.62	0.00	6329093	19	612121	60.2	88.70	5929	82115	358	359	379	358	358	82115
Chlamy88	164546	Cupriavidus taiwanensis	species	species	94.19	99.48	0.03	0.00	6225866	78	144578	67.7	88.48	5590	164546	164546	1	1	164546	164546	119060
3823_AJ	379	Rhizobium	genus	genus	80.27	99.61	0.19	0.00	5923416	42	253943	60.9	89.16	5740	379	379	1	379	28211	82115	356
Chlamy131	59732	Chryseobacterium	genus	genus	98.51	100.00	1.02	20.00	5095133	130	74966	36.3	88.10	4610	59732	59732	59732	1	1	59732	200644
3934_AL	34073	Variovorax paradoxus	species	species	90.50	100.00	0.47	0.00	5918282	19	419624	65.7	92.08	5476	34073	34073	1	1	34073	34073	80840
LjRoot11	358	Agrobacterium tumefaciens	species	species	98.31	100.00	0.68	0.00	5443212	58	415400	59.3	88.04	5089	358	358	82115	2	358	358	82115
Chlamy59	59732	Chryseobacterium	genus	genus	98.51	100.00	0.25	0.00	5086363	21	389443	36.3	88.14	4516	59732	59732	59732	1	1	59732	200644
LjRoot38	1690268	Acidovorax sp. SD340	species	species	96.86	99.62	0.78	0.00	5671355	37	492427	64.5	89.36	5215	1690268	1690268	1690268	12916	12916	12916	80840
Chlamy123	40324	Stenotrophomonas maltophilia	species	species	97.11	100.00	0.11	0.00	4582807	23	491615	66.2	89.25	4082	40324	40324	32033	1	40324	40324	32033
3934_AB	1690268	Acidovorax sp. SD340	species	species	96.75	99.36	3.11	57.14	5674187	556	17053	64.3	89.25	5609	1690268	1690268	1690268	12916	12916	12916	80840
LjRoot166	358220	Acidovorax sp. KKS102	species	species	97.50	99.56	0.15	0.00	5467245	41	281489	64.3	89.16	5043	358220	358220	12916	1	358220	358220	80840
LjRoot203	34073	Variovorax paradoxus	species	species	98.41	100.00	0.23	0.00	6756352	35	366844	67.5	92.01	6292	34073	34073	34073	1	34073	34073	80840
LjRoot162	1268068	Pseudomonas sp. G5(2012)	species	species	96.92	100.00	0.78	0.00	6842407	63	172995	59.8	88.54	6218	1268068	1268068	286	2	1268068	1268068	72274
LjRoot35	963	Herbaspirillum	genus	genus	94.14	99.51	0.81	0.00	5220772	20	389773	60.7	88.96	4741	963	963	1	963	963	963	80840
3934_BV	286	Pseudomonas	genus	genus	94.41	100.00	188.32	19.13	15864539	2407	10767	51.7	88.91	15753	286	286	1	286	286	286	2
3823_R	34073	Variovorax paradoxus	species	species	98.48	100.00	0.47	0.00	6632823	27	546636	67.7	92.02	6210	34073	34073	34073	1	34073	34073	80840
LjNodule209	71433	Mesorhizobium amorphae	species	species	92.59	99.92	1.82	0.00	7699818	59	493010	62.7	86.23	7340	71433	71433	1	68287	71433	71433	356
Chlamy110	106589	Cupriavidus	genus	genus	95.48	99.94	0.26	0.00	6080660	18	577094	66.7	89.62	5458	106589	106589	106589	1	119060	106589	119060
Chlamy67	106589	Cupriavidus	genus	genus	95.50	99.94	0.23	0.00	5996434	30	448274	66.7	89.89	5413	106589	106589	106589	106589	119060	106589	119060
3934_AD	34073	Variovorax paradoxus	species	species	90.56	100.00	0.00	0.00	5768147	22	567821	65.8	92.35	5391	34073	34073	1	34072	34073	34073	80840
LjRoot73	32033	Xanthomonadaceae	family	family	89.63	99.61	0.94	20.00	4126831	8	2202475	67.0	90.51	3849	32033	32033	1	1	1236	32033	32033
Chlamy121	2	Bacteria	superkingdom	superkingdom	96.98	100.00	147.76	0.52	15972625	1763	390816	55.4	88.22	15704	2	1224	2	1117	1224	1224	2
3934_AO	1760	Actinobacteria	class	class	93.43	99.49	0.42	0.00	4182747	12	1287728	69.9	92.33	3814	1760	293890	1	1	85023	293890	2037
LjRoot10	106592	Ensifer adhaerens	species	species	98.64	99.86	2.80	20.00	7265125	51	609636	62.3	86.74	6786	106592	106592	82115	1	106592	106592	82115
3934_R	1144338	Pseudomonas sp. GM79	species	species	95.79	100.00	6.90	95.24	6480195	58	170961	58.6	87.47	5820	1144338	1144338	286	1	1144338	286	72274
Chlamy161	85413	Bosea	genus	genus	88.32	99.37	0.00	0.00	4655423	36	289675	65.3	89.18	4470	85413	85413	1	1	1224	85413	356
Chlamy160	33882	Microbacterium	genus	genus	86.31	98.28	96.55	0.00	8634984	173	90710	67.1	90.80	8246	33882	33882	1	33882	2	2	2
LjRoot65	12916	Acidovorax	genus	genus	98.57	99.94	0.87	0.00	5983925	45	427562	65.9	87.26	5348	12916	12916	12916	12916	12916	12916	80840
3823_AE	1760	Actinobacteria	class	class	88.01	99.44	0.17	0.00	4142767	2	2322152	69.0	93.23	3959	1760	33882	1	1	33882	33882	2037
3934_S	83618	Pseudoxanthomonas	genus	genus	90.80	100.00	0.57	0.00	4196278	14	448819	68.3	90.44	3863	83618	83618	1	83618	135614	32033	32033
LjRoot118	12916	Acidovorax	genus	genus	97.72	99.43	0.64	0.00	7133303	60	233770	66.6	89.83	6646	12916	12916	12916	1	80864	12916	80840
Chlamy146	1736474	Sphingopyxis sp. Root1497	species	species	96.88	99.93	1.78	0.00	4594307	9	827306	65.9	91.39	4362	1736474	1736474	1736474	165697	41297	165697	204457
3823_AU	379	Rhizobium	genus	genus	89.63	99.55	0.26	0.00	5660046	34	444082	60.6	86.59	5372	379	379	1	1	379	379	82115
LjRoot76	358220	Acidovorax sp. KKS102	species	species	97.52	99.56	0.02	0.00	5030276	23	586230	65.0	89.83	4546	358220	358220	12916	1	358220	358220	80840
LjRoot53	218284	Bacillus vietnamensis	species	species	92.56	98.85	2.79	0.00	4399982	34	330215	43.1	85.58	4446	218284	218284	1	1	218284	218284	1385
3934_AT	1268	Micrococcaceae	family	family	91.38	99.71	0.00	0.00	4758661	24	519559	62.5	90.51	4390	1268	29320	1	1663	29320	1742992	1268
Chlamy73	2	Bacteria	superkingdom	superkingdom	96.01	100.00	99.60	0.91	11202204	571	41287	60.8	89.44	10547	2	2	1268	1663	1224	286	2
LjRoot194	12916	Acidovorax	genus	genus	98.65	99.75	0.38	0.00	5778074	37	389720	66.2	87.41	5139	12916	12916	12916	12916	12916	12916	80840
Chlamy70	29320	Paenarthrobacter nicotinovorans	species	species	98.36	99.71	0.15	0.00	5072444	35	412684	62.6	90.26	4671	29320	29320	1268	2	29320	29320	1268
Chlamy117	59732	Chryseobacterium	genus	genus	98.51	100.00	0.25	0.00	5086290	22	435385	36.3	88.15	4518	59732	59732	59732	1	1	59732	200644
LjNodule212	71433	Mesorhizobium amorphae	species	species	92.59	99.92	1.82	0.00	7707227	57	493748	62.7	86.18	7338	71433	71433	1	68287	71433	71433	356
Chlamy61	2	Bacteria	superkingdom	superkingdom	97.52	100.00	97.41	0.00	12933986	1108	27823	54.3	88.26	12640	2	106589	2	59732	106589	106589	2
LjRoot31	119060	Burkholderiaceae	family	family	91.28	99.95	0.62	0.00	8821066	184	80690	59.8	84.64	8004	119060	196367	1	32008	196367	196367	80840
Chlamy195	1500289	Chryseobacterium sp. OV705	species	species	95.04	100.00	54.36	3.23	6052716	1472	222022	54.4	88.64	6371	1500289	1500289	1500289	59732	2	2	2
Chlamy112	106590	Cupriavidus necator	species	species	97.82	100.00	104.17	89.66	12721435	82	347715	66.9	88.25	11521	106590	106590	106589	2	106590	106589	1
3934_AF	294	Pseudomonas fluorescens	species	species	94.21	100.00	0.11	0.00	6661518	64	234732	60.9	87.68	5804	294	294	1	286	294	294	72274
3934_CL	2022549	Paenibacillus sp. 7516	species	species	95.30	100.00	273.67	0.00	18948094	1594	74298	59.9	89.45	18576	2022549	2022549	2022549	2	2	2	1
3934_AN	294	Pseudomonas fluorescens	species	species	99.30	100.00	1.00	0.00	6635080	48	254768	60.9	88.20	5862	294	294	286	1	294	294	72274
LjRoot86	358220	Acidovorax sp. KKS102	species	species	97.62	99.56	0.02	0.00	5110049	28	516737	64.8	89.74	4619	358220	358220	12916	12916	358220	358220	80840
LjRoot83	1882774	Variovorax sp. CF079	species	species	97.91	100.00	1.92	54.55	8191922	143	161464	66.6	90.68	7997	1882774	1882774	1882774	1	80840	80864	80840
Chlamy180	407019	Sphingomonas astaxanthinifaciens	species	species	87.43	99.89	0.00	0.00	2730232	3	2656403	67.3	92.10	2714	407019	407019	1	1	41297	407019	28211
Chlamy158	1224	Proteobacteria	phylum	phylum	94.16	100.00	87.32	7.29	11563526	3234	4891	66.0	89.98	13096	1224	1224	1	2	1224	1224	2
Chlamy155	407019	Sphingomonas astaxanthinifaciens	species	species	87.43	99.89	0.00	0.00	2730231	3	2656402	67.3	92.10	2716	407019	407019	1	1	41297	407019	28211
3823_AB	68287	Mesorhizobium	genus	genus	92.63	99.10	0.75	0.00	6450400	45	257642	62.6	88.11	6115	68287	68287	1	1	68287	68287	356
Chlamy30	758826	Acidovorax radicis	species	species	98.82	99.75	0.90	0.00	5624458	18	756031	64.8	89.11	5085	758826	758826	12916	1	758826	758826	80840
Chlamy119	164546	Cupriavidus taiwanensis	species	species	94.19	99.48	0.03	0.00	6237157	54	203591	67.7	88.49	5592	164546	164546	1	1	164546	164546	119060
Chlamy40	2	Bacteria	superkingdom	superkingdom	97.65	98.98	100.08	85.15	13767445	761	38321	66.3	88.90	13061	2	106589	106589	59732	106589	106589	2
3823_P	71433	Mesorhizobium amorphae	species	species	95.86	99.92	0.28	0.00	7021156	35	632708	62.9	87.28	6675	71433	71433	71433	68287	71433	71433	356
Chlamy76	106589	Cupriavidus	genus	genus	98.77	99.94	0.08	0.00	7250714	44	598360	66.8	87.70	6539	106589	164546	942866	1	164546	164546	119060
3823_L	32008	Burkholderia	genus	genus	80.27	99.95	1.76	0.00	5775662	73	173845	61.6	89.11	5243	32008	32008	1	32008	1224	119060	80840
Chlamy98	106590	Cupriavidus necator	species	species	97.67	98.98	98.82	86.27	14231556	519	115460	66.2	88.53	13291	106590	106590	106589	106590	106589	106589	2
LjRoot63	83618	Pseudoxanthomonas	genus	genus	89.63	99.61	0.94	20.00	4126831	8	2203309	67.0	90.53	3853	83618	83618	1	83618	1236	32033	32033
3823_AK	379	Rhizobium	genus	genus	89.63	99.55	0.26	0.00	5660134	34	444082	60.6	86.59	5373	379	379	1	379	379	379	82115
LjRoot171	34073	Variovorax paradoxus	species	species	98.47	100.00	0.47	0.00	6720011	37	325270	67.7	91.98	6315	34073	34073	34073	1	34073	34073	80840
LjRoot91	75682	Oxalobacteraceae	family	family	92.41	99.92	1.25	0.00	6325492	27	685306	62.3	92.56	5754	75682	75682	1	75682	1	75682	80840
LjRoot145	85413	Bosea	genus	genus	92.48	99.37	0.94	0.00	5909246	29	397192	66.3	88.97	5566	85413	85413	1	1	356	85413	356
Chlamy19	106589	Cupriavidus	genus	genus	95.50	99.94	0.23	0.00	5998302	22	466709	66.7	89.89	5408	106589	106589	106589	106589	119060	106589	119060
LjNodule218	71433	Mesorhizobium amorphae	species	species	92.59	99.92	2.23	0.00	7698019	60	493010	62.7	86.23	7337	71433	71433	1	68287	71433	71433	356
3823_Z	360313	Ochrobactrum sp. CDB2	species	species	99.19	100.00	0.22	0.00	5345744	41	551735	53.8	87.26	5136	360313	360313	528	1	360313	360313	28211
LjRoot59	294	Pseudomonas fluorescens	species	species	99.55	100.00	0.11	0.00	6642873	50	301054	60.9	88.51	5851	294	294	286	1	294	294	72274
LjRoot30	379	Rhizobium	genus	genus	84.34	99.81	0.19	0.00	6856875	98	319513	61.5	88.59	6454	379	379	1	379	356	82115	356
Chlamy87	106589	Cupriavidus	genus	genus	97.74	98.81	76.49	50.00	12769636	1821	25394	66.4	88.55	13134	106589	106589	106589	1	106589	106589	119060
LjRoot32	963	Herbaspirillum	genus	genus	94.14	99.51	0.81	0.00	5222841	22	482422	60.7	88.94	4742	963	963	1	1	963	963	80840
Chlamy72	2	Bacteria	superkingdom	superkingdom	96.01	100.00	99.60	0.91	11202204	571	41287	60.8	89.44	10547	2	2	1268	1663	1224	286	2
LjRoot37	1690268	Acidovorax sp. SD340	species	species	96.86	99.62	0.97	0.00	5672535	36	492427	64.5	89.38	5221	1690268	1690268	1690268	1	12916	12916	80840
LjRoot156	83618	Pseudoxanthomonas	genus	genus	89.63	99.61	0.94	20.00	4128024	5	2203309	67.0	90.52	3850	83618	83618	1	83618	1236	32033	32033
LjRoot40	1736315	Pseudorhodoferax sp. Leaf265	species	species	95.07	100.00	0.55	0.00	8004702	68	257898	69.2	92.41	7405	1736315	1736315	1736315	1	80840	80864	80840
Chlamy15	2	Bacteria	superkingdom	superkingdom	96.22	100.00	84.44	0.00	10754239	1105	168009	53.3	88.96	10284	2	2	59732	106589	2	2	2
Chlamy99	106590	Cupriavidus necator	species	species	97.67	98.98	98.82	86.27	14231556	519	115460	66.2	88.53	13291	106590	106590	106589	106590	106589	106589	2
3934_AY	294	Pseudomonas fluorescens	species	species	97.33	100.00	0.11	0.00	6935552	75	145853	60.7	87.58	6062	294	294	286	1	294	294	72274
3823_AM	106592	Ensifer adhaerens	species	species	99.23	99.96	1.31	0.00	7490024	53	348653	61.2	86.01	7087	106592	106592	106591	1	106592	106592	82115
3823_AS	75612	Pseudomonas mandelii	species	species	98.74	100.00	0.76	0.00	6623102	30	419437	59.4	88.57	5964	75612	75612	286	286	75612	75612	72274
LjNodule211	71433	Mesorhizobium amorphae	species	species	92.59	99.92	2.23	0.00	7698270	63	493694	62.7	86.21	7341	71433	71433	1	1	71433	71433	356
LjRoot84	1882774	Variovorax sp. CF079	species	species	97.91	100.00	1.92	54.55	8172318	120	162889	66.6	90.72	7952	1882774	1882774	1882774	1	80840	80864	80840
LjRoot54	294	Pseudomonas fluorescens	species	species	99.55	100.00	0.11	0.00	6643383	52	253772	60.9	88.51	5851	294	294	286	1	294	294	72274
LjRoot198	358220	Acidovorax sp. KKS102	species	species	95.73	99.49	0.24	0.00	5055211	21	467869	65.0	89.48	4600	358220	358220	12916	12916	358220	358220	80840
LjRoot41	1736315	Pseudorhodoferax sp. Leaf265	species	species	95.07	100.00	0.55	0.00	7996559	66	257889	69.2	92.43	7400	1736315	1736315	1736315	1	80840	80864	80840
3937_Q	106592	Ensifer adhaerens	species	species	98.90	99.66	1.84	0.00	7735279	51	253789	61.1	85.98	7388	106592	106592	106591	1	106592	106592	82115
Chlamy78	149698	Massilia	genus	genus	91.88	99.55	1.39	0.00	5728546	62	175680	66.4	90.29	5052	149698	149698	1	149698	149698	149698	80840
LjRoot197	32033	Xanthomonadaceae	family	family	89.55	99.61	2.06	6.67	4210620	78	2202475	66.9	90.51	3985	32033	32033	1	1	1224	32033	32033
3934_CD	83618	Pseudoxanthomonas	genus	genus	90.85	96.76	85.53	74.29	8178673	992	18808	67.9	90.77	8269	83618	83618	1	83618	1236	32033	2
Chlamy156	149698	Massilia	genus	genus	91.88	99.55	1.39	0.00	5732305	59	210935	66.4	90.30	5048	149698	149698	1	1	149698	149698	80840
Chlamy71	40324	Stenotrophomonas maltophilia	species	species	98.82	100.00	0.04	0.00	4326177	26	440600	67.5	90.31	3874	40324	40324	40324	1	40324	40324	32033
Chlamy60	59732	Chryseobacterium	genus	genus	98.51	100.00	0.25	0.00	5086713	21	431933	36.3	88.15	4517	59732	59732	59732	1	1	59732	200644
LjRoot101	20	Phenylobacterium	genus	genus	90.62	99.51	2.71	0.00	4697841	14	753589	68.6	90.87	4598	20	20	1	20	1	28211	28211
3934_AW	12916	Acidovorax	genus	genus	98.48	99.87	0.38	0.00	5910360	37	349253	66.9	87.85	5236	12916	12916	12916	1	12916	12916	80840
Chlamy128	106589	Cupriavidus	genus	genus	98.83	99.89	0.23	0.00	5365780	55	221874	67.8	88.53	4760	106589	106589	106589	106589	119060	106589	119060
LjRoot130	1882774	Variovorax sp. CF079	species	species	98.37	99.53	0.87	33.33	7515573	89	183333	66.9	91.30	7321	1882774	1882774	1882774	1	80840	80864	80840
Chlamy81	34072	Variovorax	genus	genus	85.80	99.77	0.85	40.00	5615128	22	374674	67.1	92.13	5248	34072	34072	1	34072	80840	80864	80840
3934_AE	41275	Brevundimonas	genus	genus	86.76	100.00	0.32	0.00	3449886	12	500621	69.0	91.23	3381	41275	41275	1	41275	28211	41275	28211
Chlamy125	395598	Pseudomonas reinekei	species	species	95.80	100.00	0.22	0.00	6176876	61	241713	59.3	88.81	5560	395598	395598	395598	1	286	286	72274
Chlamy26	73010	Aeromonas encheleia	species	species	98.14	99.62	0.00	0.00	4497195	35	208048	61.9	86.93	4065	73010	73010	73010	642	642	642	1236
3934_CA	32033	Xanthomonadaceae	family	family	90.38	99.66	0.46	0.00	4042025	25	350832	67.6	91.16	3729	32033	32033	1	1	135614	32033	32033
3934_B	1144343	Phyllobacterium sp. YR531	species	species	84.34	100.00	0.00	0.00	4851956	19	945189	53.4	89.15	4738	1144343	1144343	1	1	1	1144343	28211
Chlamy175	1760	Actinobacteria	class	class	83.53	99.49	0.67	0.00	3992290	37	446381	69.1	92.56	3718	1760	1760	1	1	1760	33882	2037
LjRoot173	32033	Xanthomonadaceae	family	family	89.63	99.61	0.94	20.00	4128743	5	2203309	67.0	90.51	3849	32033	32033	1	1	1236	32033	32033
3934_D	83618	Pseudoxanthomonas	genus	genus	88.89	99.95	1.24	0.00	4015664	13	1221619	66.6	90.01	3639	83618	83618	1	83618	135614	32033	32033
Chlamy108	587753	Pseudomonas chlororaphis	species	species	98.52	100.00	0.11	0.00	6491898	27	501927	59.3	88.22	5741	587753	587753	135621	1	587753	587753	72274
3934_BX	758826	Acidovorax radicis	species	species	98.32	99.75	0.88	0.00	5630525	28	537117	64.7	89.04	5088	758826	758826	12916	1	758826	758826	80840
Chlamy151	149698	Massilia	genus	genus	91.88	99.55	1.39	0.00	5733316	56	240053	66.4	90.31	5045	149698	149698	1	1	149698	149698	80840
LjRoot196	75682	Oxalobacteraceae	family	family	92.33	99.92	1.15	0.00	6570334	38	423355	62.0	92.75	5868	75682	75682	1	2	1	75682	80840
Chlamy92	106589	Cupriavidus	genus	genus	95.50	99.94	0.23	0.00	6001610	35	448274	66.7	89.88	5422	106589	106589	106589	106589	119060	106589	119060
LjRoot129	12916	Acidovorax	genus	genus	89.92	99.37	0.11	0.00	5652400	24	822251	64.8	87.19	5113	12916	12916	1	1	12916	12916	80840
Chlamy185	59732	Chryseobacterium	genus	genus	96.55	100.00	100.00	0.00	10813900	104	274655	52.2	89.60	9659	59732	59732	59732	59732	2	2	1
LjRoot96	12916	Acidovorax	genus	genus	92.48	99.81	0.38	0.00	5228568	31	585652	65.4	89.57	4714	12916	12916	1	1	12916	12916	80840
3823_W	311230	Paraburkholderia terrae	species	species	98.48	99.55	0.17	50.00	11169004	183	120455	61.9	83.62	10385	311230	311230	119060	1	311230	311230	80840
3823_O	85413	Bosea	genus	genus	94.81	99.69	1.02	0.00	6629780	34	413714	65.3	87.64	6128	85413	85413	1	85413	28211	85413	356
3934_F	40323	Stenotrophomonas	genus	genus	92.70	99.80	0.04	0.00	4179155	19	464758	67.2	89.25	3594	40323	40323	1	1	40323	40323	32033
Chlamy147	1736474	Sphingopyxis sp. Root1497	species	species	96.88	99.93	1.78	0.00	4593845	5	2375491	65.9	91.40	4363	1736474	1736474	1736474	165697	41297	165697	204457
Chlamy142	41275	Brevundimonas	genus	genus	91.12	99.68	0.00	0.00	3463211	20	271440	67.5	89.97	3204	41275	41275	1	1	41275	41275	28211
Chlamy129	59732	Chryseobacterium	genus	genus	98.51	100.00	0.25	0.00	5085219	23	435385	36.3	88.16	4516	59732	59732	59732	59732	1	59732	200644
LjNodule213	71433	Mesorhizobium amorphae	species	species	92.59	99.92	1.82	0.00	7702830	52	493748	62.7	86.20	7333	71433	71433	1	1	71433	71433	356
LjRoot68	32033	Xanthomonadaceae	family	family	89.63	99.61	0.94	20.00	4126362	7	2202475	67.0	90.50	3850	32033	32033	1	1	1236	32033	32033
LjRoot182	294	Pseudomonas fluorescens	species	species	99.55	100.00	0.11	0.00	6641845	56	301054	60.9	88.53	5856	294	294	286	1	294	294	72274
3823_K	375	Bradyrhizobium japonicum	species	species	99.14	100.00	0.00	0.00	8780833	33	760095	63.9	85.55	8284	375	375	374	1	375	375	41294
Chlamy181	85413	Bosea	genus	genus	88.32	99.37	0.00	0.00	4655521	36	289675	65.3	89.20	4469	85413	85413	1	1	1224	85413	356
