	Genome	sum	sample0	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
45	A22_S22_contigs.fasta	0.9746451217	0	0	0.5933584387	0.381286683	0	0	0	0	0	0
46	A25_S9_contigs.fasta	0.8121226487	0	0	0	0	0	0	0	0	0	0.8121226487
47	A3_S3_contigs.fasta	43.8736342184	6.4103374472	4.8003031159	3.5193435347	13.7417173567	2.1088334773	1.6204265051	2.3336878947	1.6564238686	1.2756227922	6.406938226
48	A4_S4_contigs.fasta	7.3519504598	0	2.1993559718	0.5932427473	0.1905678915	0.3560677712	0.8199977189	0.6745053343	0.4201046345	0.2597472561	1.8383611342
49	A5_S5_contigs.fasta	3.5268948205	0	0	1.714125662	1.2793675325	0	0.2736351881	0	0	0.2597664379	0
50	A6_S6_contigs.fasta	28.7831764038	0	0	0	0.3812862942	2.4107698189	9.7560624342	6.4766202347	6.0686130193	0.9756971221	2.7141274804
51	A7_S7_contigs.fasta	5.2889896289	1.1977959211	0.9506871809	0	1.8826640862	0.7114928619	0.5463495788	0	0	0	0
52	A8_S8_contigs.fasta	3.7082495113	0.8112947517	0.951869967	1.7547491809	0.1903356117	0	0	0	0	0	0
53	A9-2_S2_contigs.fasta	3.8876676069	1.2168507483	0.9693185945	0	0.7611400742	0	0	0	0.420289008	0.5200691819	0
54	Acidobacteria_bacterium_Mor1_genomic.fasta	2.9755941435	0	0	1.1847029808	0	0	0	1.0118907176	0	0.7790004451	0
55	Aciduliprofundum_boonei_T469_genomic.fasta	5.463043936	2.4335230724	0	1.1853173875	0.1906389584	0.7089237876	0.2708976923	0.6737430378	0	0	0
56	Aciduliprofundum_sp_MAR08-339_genomic.fasta	7.2827051314	0.4064064141	1.4582827392	2.9667390583	1.5251163635	0	0	0	0	0.5200686665	0.4060918898
57	Acinetobacter_venetianus_VE-C3_genomic.fasta	12.048871649	0.406030003	0.9721298493	1.1859044511	1.5246915722	2.1356224515	1.0945496259	2.3586575743	0	1.560060928	0.8112251937
58	Actinoalloteichus_hymeniacidonis_strain_HPA177_DSM_45092_genomic.fasta	1.3994193506	0	0	0.5932634645	0	0	0.5464707447	0	0	0.2596851414	0
59	Actinoalloteichus_sp_ADI127-7_genomic.fasta	6.1047214134	0	0.4860944367	2.3733057337	1.906295803	0	0	0.6745994687	0	0.2594456705	0.4049803008
60	Actinoalloteichus_sp_GBA129-24_genomic.fasta	0.8406917516	0	0	0	0	0	0	0	0.8406917516	0	0
61	Aeromonas_salmonicida_subsp_salmonicida_A449_genomic.fasta	24.6787381978	2.4380092835	2.4301281788	2.9655830321	3.4303795409	1.067314058	3.0100292885	1.0119977296	0.8404189871	5.4554221108	2.0294559885
62	Aeropyrum_camini_SY1_JCM_12091_genomic.fasta	19.9467667505	1.624483786	0.4860942547	2.3717035454	2.6689538501	1.4243860413	2.7363732343	2.6923235975	2.0999752505	1.814285759	2.0281874317
63	Aeropyrum_pernix_K1_genomic.fasta	1.4529109174	0	0.4860941836	0	0.1889205047	0	0	0	0	0.7778962291	0
64	Agarivorans_gilvus_strain_WH0801_genomic.fasta	5.4556818694	0.4064068726	0	1.1866960588	1.9059917344	0	0.27365388	0.3370576151	0.4204017977	0.5193815334	0.4060923774
65	Agrococcus_jejuensis_strain_DSM_22002_genomic.fasta	2.3925102177	0.4063762525	0	0.5933478796	0.5719098906	0	0.820876195	0	0	0	0
66	Alcanivorax_borkumensis_SK2_genomic.fasta	1.4153846746	0	0	0	0.3796674128	0.3556730074	0	0	0.4204017507	0.2596425037	0
67	Alcanivorax_dieselolei_B5_genomic.fasta	0.3812793412	0	0	0	0.3812793412	0	0	0	0	0	0
68	Alcanivorax_sp_W11-5_genomic.fasta	2.5811303446	0.8119331796	0.485931627	0	0.3803822448	0.3556083972	0.547274896	0	0	0	0
69	Algibacter_sp_HZ22_genomic.fasta	43.6307978604	2.0314328406	1.9432635813	4.7412877985	7.2416141	2.4915187879	7.659261069	4.7217447508	3.7827883	7.800152249	1.2177343833
70	Aliivibrio_salmonicida_LFI1238_genomic.fasta	4.1043598322	0.4060033581	0.9719292277	0	0.7615835861	0	0.5472954324	1.0117068232	0	0	0.4058414047
71	Aliivibrio_wodanis_genomic.fasta	5.8307636447	0	5.8307636447	0	0	0	0	0	0	0	0
72	alpha_proteobacterium_HIMB5_genomic.fasta	9.9821330059	0.4044116935	0.4860516244	1.1855400859	1.5251164567	0.7105731598	0.8164208984	1.0119185261	0.8404731079	2.6003441029	0.4012833503
73	alpha_proteobacterium_HIMB59_genomic.fasta	3.4170032792	0	0	0	1.3337150954	0.3560974607	0.2736368613	0.6734509208	0	0.780102941	0
74	Altererythrobacter_atlanticus_strain_26DY36_genomic.fasta	0.9133580635	0	0	0	0.3807661174	0	0.2727613855	0	0	0.2598305606	0
75	Altererythrobacter_dongtanensis_strain_KCTC_22672_genomic.fasta	1.9790659299	0	0	0	0.1906395622	0	0.2736371804	0.6746601424	0.8401290449	0	0
76	Altererythrobacter_epoxidivorans_CGMCC_17731_genomic.fasta	2.5979947292	0	0.4856124184	0	0.3807269035	0.3550731322	0	0.3373299735	0	1.0392523016	0
77	Altererythrobacter_ishigakiensis_strain_NBRC_107699_genomic.fasta	3.8104469034	0	0.4859963373	1.1852602433	0.5717946925	0.355662853	0.273281503	0	0.4195534071	0.5188978672	0
78	Altererythrobacter_marensis_strain_KCTC_22370_genomic.fasta	4.8128136444	0	0	1.7788556391	1.3333007514	0.3558838475	0	0	0.4204016313	0.5186531597	0.4057186154
79	Altererythrobacter_namhicola_strain_JCM_16345_genomic.fasta	8.5380594826	0	0	0.5926781084	1.1424917428	1.0677656964	1.3644307939	1.682519061	0.8364690085	1.0395203111	0.8121847605
80	Alteromonas_australica_DE170_genomic.fasta	5.4928359634	0	0	0.5926719018	0.7614587907	0.3549401197	0.8206349203	2.0230161798	0.4204018734	0.5197121777	0
81	Alteromonas_australica_H_17_genomic.fasta	1.4937990185	0	0	0	0.1901080432	0.355785347	0.2736373692	0.6742682591	0	0	0
82	Alteromonas_macleodii_AltDE1_genomic.fasta	0.8307043664	0.0312344923	0.0757985392	0.0912701453	0.0297269506	0.0275541744	0.0213346049	0	0.0983322239	0.2023536085	0.2530996273
83	Alteromonas_macleodii_ATCC_27126_genomic.fasta	32.4350690566	2.589517028	0.8437215021	0.6872124425	1.2146211354	11.3440360802	3.6455488915	2.7342197388	3.1659842212	1.5060979593	4.7041100576
84	Alteromonas_macleodii_str_Aegean_Sea_MED64_genomic.fasta	96.5860124462	6.0959352711	8.7495214368	7.7121145968	7.4337847677	22.4325956933	10.1193188098	9.444883478	9.2475123581	5.2006911595	10.1496548751
85	Alteromonas_macleodii_str_Balearic_Sea_AD45_genomic.fasta	49.0654283334	8.1275915605	3.8884747136	5.932338457	3.6221537809	9.9698129537	2.7354705548	2.0239806917	3.7830913952	2.0798291124	6.9026851136
86	Alteromonas_macleodii_str_Black_Sea_11_genomic.fasta	23.5540182052	1.8799118314	0.6123664995	0.49924763	0.8817709956	8.2395156978	2.6473370877	1.9856221661	2.2981449871	1.0932077345	3.4168935755
87	Alteromonas_macleodii_str_Deep_ecotype_genomic.fasta	10.9152507799	1.2192206185	1.4577722343	1.7787365056	1.142898652	2.1364250074	0.2730582302	1.3476417214	0	1.5594978105	0
88	Alteromonas_macleodii_str_English_Channel_615_genomic.fasta	8.6418259353	0	0.4852888898	0.5933480027	2.0967413466	1.06829308	1.368187261	0.33732997	0.8408036221	1.0400169956	0.8118167675
89	Alteromonas_macleodii_str_English_Channel_673_genomic.fasta	0.6920515208	0.0645997011	0.0773204143	0.0934141657	0	0	0.1305779973	0.1337317728	0.0668703412	0.0616008654	0.063936263
90	Alteromonas_macleodii_str_Ionian_Sea_U4_genomic.fasta	43.8475725035	0.4063368795	0.4856474503	2.3725895914	0.7615800271	8.1898484165	7.9348481235	4.0478155958	7.9866405137	5.9785660489	5.6836998568
91	Alteromonas_macleodii_str_Ionian_Sea_U7_genomic.fasta	0.4477063258	0.1385896311	0.082806711	0	0	0	0	0	0	0.0878274889	0.1384824948
92	Alteromonas_macleodii_str_Ionian_Sea_U8_genomic.fasta	63.3980192653	4.4691888758	6.8042461996	4.7448157421	3.4312492548	0.712191891	4.3768212593	6.0711407142	9.2461399634	10.1413481027	13.4008772624
93	Alteromonas_macleodii_str_Ionian_Sea_UM4b_genomic.fasta	47.1346110002	4.3842363467	2.0383079269	2.1338236195	3.770472122	6.8298178684	3.9351110488	2.8297849764	9.3227625323	4.8311238614	7.0591706978
94	Alteromonas_macleodii_str_Ionian_Sea_UM7_genomic.fasta	5.2847679513	0	0	0.5932899686	0.5717706468	2.1365864361	0.547115262	0.3369586839	0.8395605456	0.2594864083	0
95	Alteromonas_mediterranea_strain_AR43_genomic.fasta	1.2653060003	0	0	0	0.5718783088	0.3560976789	0	0.3373300126	0	0	0
96	Alteromonas_mediterranea_strain_CP48_genomic.fasta	142.8011233073	11.7840249126	8.7484224671	9.4919978863	6.8624295549	2.8487818865	12.8597456791	13.8270135967	19.3378266167	24.9633190123	32.0775616951
97	Alteromonas_mediterranea_strain_CP49_genomic.fasta	24.8592387387	3.2505381803	2.4296437087	2.9651388688	3.6216015989	2.1365865669	1.094549765	4.7203326962	1.2603982152	3.3804491387	0
98	Alteromonas_mediterranea_strain_RG65_genomic.fasta	8.0360997933	0.7471701114	0.8948683584	1.0919888698	0	0	1.5108392454	1.5519811531	0.7739326321	0.7177295116	0.7475899115
99	Alteromonas_sp_Mex14_genomic.fasta	2.2523838077	0	0	0.5931649625	0.190491231	0.7119655477	0	0.3367305527	0.4200315138	0	0
100	Alteromonas_sp_RW2A1_genomic.fasta	31.491846784	2.9300247959	1.3611233582	1.4260503279	2.5171627663	4.5645011553	2.6292254137	1.8905202319	6.2280757513	3.2284109488	4.7167520347
101	Alteromonas_sp_SN2_genomic.fasta	1.1866506816	0	0	1.1866506816	0	0	0	0	0	0	0
102	Alteromonas_stellipolaris_LMG_21856_genomic.fasta	0.7176838979	0	0	0	0.3810244162	0	0	0.3366594817	0	0	0
103	Alteromonas_stellipolaris_strain_PQQ-42_genomic.fasta	2.1811820703	0.6739370374	0.4027877044	0	0	0	0	0	0	0.4309969782	0.6734603503
104	Alteromonas_stellipolaris_strain_PQQ-44_genomic.fasta	9.8492135095	0.3744740952	0.8960454583	1.0937721179	0.3515519937	0.3278268192	0.2516971059	0	1.1626487602	2.3961377948	2.9950593643
105	Arcanobacterium_phocae_strain_DSM_10002_genomic.fasta	4.7512504109	0.4058627573	0	0.5915180727	0.19017506	0	1.0945493341	1.0119899337	0.4188840454	1.0382712077	0
106	Archaeoglobus_fulgidus_DSM_4304_genomic.fasta	6.5371825481	0.4064022189	1.4577926654	1.1848511821	0.1906393726	0	0	0	0	2.0800706573	1.2174264518
107	Archaeoglobus_fulgidus_DSM_8774_genomic.fasta	39.3833215041	6.5025091871	2.9130065001	4.1498086594	3.8118804743	7.4742026898	3.009168549	4.0457974138	2.5221500953	1.2999778093	3.654820126
108	Archaeoglobus_profundus_DSM_5631_genomic.fasta	3.9054907691	0	0.9686873171	0	0.3794453712	0	0	0	1.260472527	1.2968855538	0
109	Archaeoglobus_veneficus_SNP6_genomic.fasta	1.7683138936	0	0	0	0	0	1.0942440997	0.6740697939	0	0	0
110	Arthrobacter_sp_PAMC25486_genomic.fasta	0.7796202526	0	0	0	0	0	0	0	0	0.7796202526	0
111	AW02J18_S11_contigs.fasta	151.7849366563	0.8123679559	9.1754512796	7.0693521487	8.5224978094	15.9218604147	48.1261147116	21.7799588679	10.0253538651	4.1322809147	26.2196986887
112	AW19M33_S12_contigs.fasta	3.5508255714	0.4058909432	0.9704323106	0.5922740147	0	0.7118873492	0.2729537875	0.3373454596	0	0.2600417066	0
113	B9-25K2_S3_contigs.fasta	4.0545437213	0.405973829	0	0	0	0	0	0	0.8408015248	0.7796241279	2.0281442396
114	Bacillus_infantis_NRRL_B-14911_genomic.fasta	18.1528349458	1.6248756836	2.9165668655	1.7800620466	1.9062604279	1.0675075347	1.3666902504	0.6746227108	1.2602766508	3.1203065318	2.4356662437
115	Bacillus_safensis_strain_KCTC_12796BP_genomic.fasta	1.8910542684	0	0.4857571871	0.593347623	0	0	0	0	0	0	0.8119494583
116	Bacillus_sp_Alg07_genomic.fasta	2.2871115501	0	0	0	0.3812791529	0.7118802589	0	0.674660197	0	0.5192919413	0
117	Bacillus_sp_Pc3_genomic.fasta	5.3919635254	0.8125024327	2.9129853605	0.5926616876	0.3810611755	0.3558789193	0	0.3368739498	0	0	0
118	Bacillus_velezensis_strain_9912D_genomic.fasta	1.9999662862	0.4059879144	0	0	0.3804266668	0	0.2736373759	0	0.4201852283	0.5197291008	0
119	Bacteriovorax_marinus_SJ_genomic.fasta	5.9009961585	1.2186827625	0.4854811372	0	1.1420425276	0	0.8209119677	0.6742070103	0	1.5596707532	0
120	bacterium_AB1_strain_AB1-8_genomic.fasta	1.7046819254	1.2185881588	0.4860937666	0	0	0	0	0	0	0	0
121	Bdellovibrio_bacteriovorus_strain_109J_genomic.fasta	11.2507155859	1.2184614879	0.9721887476	2.3722510905	2.0970361537	1.4231028491	0	1.348373341	0	1.8193019161	0
122	Belliella_baltica_DSM_15883_genomic.fasta	3.4650790784	0	0	0.5933480373	0.9531982588	0.7119598837	0.2721417549	0.6746601293	0	0.2597710144	0
123	Brucella_ceti_TE10759-12_genomic.fasta	9.4837666469	0.4063217751	0.9713636371	1.779079235	0.9531978762	0.7110226096	0.5469169792	1.3488849265	2.1019644391	0.2592617223	0.4057534468
124	Brucella_ceti_TE28753-12_genomic.fasta	3.8225129411	0	1.9438616575	0.5932465936	0	0	0.273598906	1.011805784	0	0	0
125	Brucella_pinnipedialis_B2_94_genomic.fasta	10.9248170711	0	0	1.7800085842	1.7156738699	1.0682929183	1.6408404278	1.3487246817	1.2606610421	1.298550659	0.8120648881
126	Brucella_sp_141012304_genomic.fasta	4.9744778472	0	0.9721887344	1.1863619436	0.5719188051	0	0	1.011990244	0.4200434467	0	0.8119746734
127	Caldithrix_abyssi_DSM_13497_genomic.fasta	10.5506174297	0	1.9425566762	1.1860872119	0.3807255216	0	2.4626633661	1.3488661942	0.4204017963	0.7793382079	2.0299784555
128	Campylobacter_lari_strain_Slaughter_Beach_genomic.fasta	3.7811453757	0	0	0	0	0	0	0.3371899378	2.5200625962	0.5194707981	0.4044220436
129	Campylobacter_peloridis_LMG_23910_genomic.fasta	5.3144105322	0.406168276	0.972053456	1.1819117832	0	0.7117825452	0	0.3369871919	0	1.2994155868	0.4060916931
130	Candidatus_Aquiluna_sp_UB-MaderosW2red_genomic.fasta	6.9085037908	2.0320336798	0.4857422749	1.7785570691	0.1889122276	0.3557618975	0.2717072189	0.3373299557	0.4189403842	1.0395190831	0
131	Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA_genomic.fasta	13.9173940839	3.6475830911	1.4582821665	0.5928922633	2.6655217768	1.7804879738	0.2736369889	0.3362928702	0.4183550849	2.3382501955	0.4060916729
132	Candidatus_Endolissoclinum_faulkneri_L5_genomic.fasta	124.1620723056	19.0916012187	15.5528457426	12.460304207	15.0587151505	10.6732201309	7.9342015241	10.7904074509	13.4473873612	11.440851237	7.7125382827
133	Candidatus_Endolissoclinum_patella_L2_genomic.fasta	91.7575378479	29.7165134567	6.664140098	11.2924698486	7.6901623827	7.86461107	3.1229043905	2.3112425668	9.6063346278	7.923505528	5.5656538788
134	Candidatus_Gloeomargarita_lithophora_D10_genomic.fasta	21.1443591821	4.064068504	3.4022735837	3.5597230562	3.2367910751	0.7121952931	1.367531646	1.0119903597	1.6813962495	1.2973207144	0.8110687004
135	Candidatus_Nitrosoarchaeum_limnia_SFB1_genomic.fasta	107.4496510727	0	1.4566375156	0	0.9531296274	4.9845909024	16.1398963964	37.0880156415	31.5292119056	3.1204133312	12.1777557526
136	Candidatus_Nitrosopelagicus_brevis_CN25_genomic.fasta	8.6179961677	0	0	0.5933469629	3.2369143166	2.4926821786	1.0945485416	0	0.4204015976	0.7801025704	0
137	Candidatus_Nitrosopumilus_koreensis_AR1_genomic.fasta	0.7856972558	0.4051866961	0	0	0.3805105597	0	0	0	0	0	0
138	Candidatus_Nitrosopumilus_sp_AR2_genomic.fasta	32.9681987052	4.8759499345	6.3185659049	1.7793070697	4.7634297826	3.5596804317	2.4616619729	1.3493198321	2.9421345716	2.080275308	2.8378738972
139	Candidatus_Nitrosopumilus_sp_D3C_genomic.fasta	5.5805208049	0	0	1.183753347	0.9531977218	0.3560974129	0.2736371177	0.6735889005	0.8400745091	1.3001717959	0
140	Candidatus_Nitrosopumilus_sp_NF5_genomic.fasta	4.3958424727	2.0319823015	1.9443771834	0	0	0	0	0	0.4194829878	0	0
141	Candidatus_Pelagibacter_sp_IMCC9063_genomic.fasta	0.1546848827	0	0.0819473071	0	0.0064278197	0	0.0461202683	0.011421873	0	0.0087676146	0
142	Candidatus_Pelagibacter_ubique_HTCC1062_genomic.fasta	4.4269476451	0	2.3471148262	0	0.1842110089	0	1.3211658364	0.3231898897	0	0.2512660839	0
143	Candidatus_Puniceispirillum_marinum_IMCC1322_genomic.fasta	0.5472746237	0	0	0	0	0	0.5472746237	0	0	0	0
144	Candidatus_Ruthia_magnifica_str_Cm_Calyptogena_magnifica_genomic.fasta	4.4149354359	0	0	2.9608238577	0.5703960172	0	0.5469919873	0.3367235737	0	0	0
145	Candidatus_Thioglobus_singularis_PS1_genomic.fasta	4.5586118827	0.4064063276	0.9693953093	0.5929274526	0.7625579807	0.3560973988	0.2736372392	0	0.4192190994	0.7783710751	0
146	Candidatus_Thioglobus_singularis_strain_GG2_genomic.fasta	2.6606292686	0	0	1.7791248019	0.1901170785	0	0.2720516128	0	0.4193357754	0	0
147	Candidatus_Thioglobus_sp_EF1_genomic.fasta	2.4433812688	0	0.9699461139	0	0	0	0.5472742901	0	0	0.5200687626	0.4060921022
148	Candidatus_Vesicomyosocius_okutanii_HA_genomic.fasta	1.321840621	0	0	0	0	0.3549921489	0.5472438133	0	0.4196046588	0	0
149	Carnobacterium_sp_17-4_genomic.fasta	1.4574193789	0	1.4574193789	0	0	0	0	0	0	0	0
150	Celeribacter_indicus_P73_genomic.fasta	12.1707799491	0	2.9162947397	2.3724570566	0.9529692685	0	1.3675196287	2.3607230185	1.6809706384	0.5198455987	0
151	Celeribacter_marinus_strain_IMCC12053_genomic.fasta	4.423334666	0.8124239111	0.9716240418	0	0.9521478629	0.3560974145	0	0	0	0.5197816648	0.8112597709
152	Cellulophaga_algicola_DSM_14237_genomic.fasta	4.2900800556	0	0.1401109658	0.8545199468	0.7687876124	0.4108922963	0.7100756205	0.7786320303	0.2425393087	0.1501051274	0.2344171474
153	Cellulophaga_baltica_18_genomic.fasta	15.9639783859	0.1707874642	0	0.4966529352	1.2808280976	1.795186561	6.6692552446	1.9826795763	1.7666883994	0.4366862376	1.36521387
154	Cellulophaga_baltica_NN016038_genomic.fasta	14.6913949463	0	0.9713876051	0.5931059495	0.190281153	1.0666616088	2.7354971702	1.6865534155	1.6816077303	1.3000093629	4.466290951
155	Cellulophaga_lytica_DSM_7489_genomic.fasta	4.2501650984	0	0	0	1.1433059024	1.0675306039	0.5470617273	0	0.4204018814	0.2597706759	0.8120943075
156	Cellulophaga_lytica_strain_DAU203_genomic.fasta	1.9884084273	0	0	0	0.5711834024	0	0.8205675345	0.3371224789	0	0.2595350115	0
157	Cellulophaga_lytica_strain_HI1_genomic.fasta	4.885468505	0	0.4860944664	0	0.9531982793	0	0.5467981906	0.6746600659	0	1.8194081006	0.4053094022
158	Cenarchaeum_symbiosum_A_genomic.fasta	5.4437527596	0.4054164933	0.4860942346	0	0.7619225979	0.7111379614	0.8207665493	0	0	1.0401376567	1.2182772664
159	Chlorobium_phaeobacteroides_BS1_genomic.fasta	32.994619581	8.5330225361	2.9165664134	4.1529200367	2.2873022405	4.9820523578	0.5471056174	1.3490336222	1.6813460293	2.0802761581	4.4649945695
160	Chlorobium_phaeovibrioides_DSM_265_genomic.fasta	2.4671382137	1.2192200864	0.486094326	0	0.7618238013	0	0	0	0	0	0
161	Chloroherpeton_thalassium_ATCC_35110_genomic.fasta	35.7487515398	10.1569794292	7.2910121492	4.150895852	2.0953927742	2.1365862679	0.2721593147	1.3470432436	0.4204017238	2.5990784152	5.27920237
162	Chromohalobacter_salexigens_DSM_3043_genomic.fasta	2.0766759093	0	0	0	0.3812021695	0	0.5472746947	0.3369759106	0	0	0.8112231345
163	Citromicrobium_sp_JL477_genomic.fasta	4.0730808655	0.8112840264	0.4858852233	0	0.1906346478	1.7795761854	0.5456728556	0	0	0.260027927	0
164	Clostridium_botulinum_202F_genomic.fasta	49.1549803876	10.1588724788	2.9163292337	7.709542853	7.6241521175	6.0502078754	2.4627371089	2.3610208437	4.2034774901	3.6395981204	2.0290422661
165	Clostridium_stercorarium_subsp_thermolacticum_DSM_2910_genomic.fasta	7.21479973	0.8123288037	0.4852707336	0.5933444305	0.9528116634	0.3560975787	0	1.01199029	0	2.5968639716	0.4060922585
166	Colwellia_psychrerythraea_34H_genomic.fasta	36.56360841	4.4689464211	3.8885092462	1.1866961117	3.2408364803	0.3558817393	0.5469955321	0.336958312	9.2485890574	5.9807804725	7.3094150374
167	Colwellia_sp_MT41_genomic.fasta	18.0853908739	0.4064068571	0.9716822201	2.3731157557	2.0966957634	0	0.5472749084	4.7203416087	2.5208986004	3.6377845644	0.8111905957
