	Completenesssuperkingdom	Completenessphylum	Completenessclass	Completenessorder	Completenessfamily	Completenessgenus	Completenessspecies	Completenessavg	Completenessstrain	Puritysuperkingdom	Purityphylum	Purityclass	Purityorder	Purityfamily	Puritygenus	Purityspecies	Purityavg	Puritystrain	F1 scoresuperkingdom	F1 scorephylum	F1 scoreclass	F1 scoreorder	F1 scorefamily	F1 scoregenus	F1 scorespecies	F1 scoreavg	F1 scorestrain	L1 norm errorsuperkingdom	L1 norm errorphylum	L1 norm errorclass	L1 norm errororder	L1 norm errorfamily	L1 norm errorgenus	L1 norm errorspecies	L1 norm erroravg	L1 norm errorstrain	Bray-Curtis distancesuperkingdom	Bray-Curtis distancephylum	Bray-Curtis distanceclass	Bray-Curtis distanceorder	Bray-Curtis distancefamily	Bray-Curtis distancegenus	Bray-Curtis distancespecies	Bray-Curtis distanceavg	Bray-Curtis distancestrain	Shannon equitabilitysuperkingdom	Shannon equitabilityphylum	Shannon equitabilityclass	Shannon equitabilityorder	Shannon equitabilityfamily	Shannon equitabilitygenus	Shannon equitabilityspecies	Shannon equitabilityavg	Shannon equitabilitystrain	Weighted UniFrac error
Metalign 0.6.2	100.0	45.9	60.6	57.0	53.5	48.9	46.5	58.9	0.0	100.0	100.0	97.8	97.2	95.7	96.9	55.4	91.9	0.0	100.0	62.7	74.7	71.8	68.5	64.9	50.4	71.8		0.1	0.17	0.21	0.31	0.4	0.41	0.61	0.32	1.99	0.05	0.09	0.1	0.16	0.2	0.21	0.31	0.16	1.0	0.17	0.02	0.02	0.05	0.06	0.06	0.05	0.06	0.03	4.35
Metalign 0.6.2 avg	100.0	40.0	58.8	59.3	58.8	55.0	60.0	61.7	0.0	100.0	100.0	100.0	98.0	95.2	95.5	59.7	92.6	0.0	100.0	57.1	74.1	73.8	72.7	69.8	59.9	74.1		0.1	0.17	0.2	0.3	0.39	0.39	0.59	0.3	1.99	0.05	0.09	0.1	0.15	0.2	0.2	0.3	0.15	1.0	0.17	0.02	0.01	0.03	0.03	0.03	0.01	0.04	0.0	4.27
MetaPalette 1.0.0	50.0	25.8	33.9	33.5	28.7	22.4	14.1	29.8	0.0	100.0	100.0	98.4	100.0	99.0	96.0	82.5	96.6	0.0	66.7	40.5	50.0	50.1	44.3	35.9	22.8	45.5		0.23	0.38	0.52	0.84	0.92	1.06	1.5	0.78	2.0	0.11	0.19	0.26	0.42	0.46	0.53	0.75	0.39	1.0	0.51	0.0	0.02	0.04	0.06	0.04	0.16	0.12	0.17	7.5
MetaPhlAn 2.9.22	100.0	53.1	64.0	67.1	69.0	72.0	72.9	71.1	0.0	100.0	100.0	99.0	97.7	96.3	97.2	86.2	96.6	0.0	100.0	69.2	77.6	79.5	80.4	82.7	78.9	81.9		0.03	0.11	0.13	0.28	0.3	0.32	0.33	0.21		0.02	0.06	0.06	0.14	0.15	0.16	0.17	0.11		0.04	0.05	0.05	0.01	0.0	0.0	0.0	0.02		2.66
MetaPhlAn cami1	100.0	54.7	68.9	66.3	58.3	54.7	49.9	64.7	0.0	100.0	100.0	100.0	95.2	95.6	98.6	91.8	97.3	0.0	100.0	70.5	81.5	78.2	72.4	70.4	64.6	77.7		0.05	0.15	0.26	0.43	0.5	0.51	0.62	0.36	1.99	0.02	0.08	0.13	0.22	0.25	0.26	0.31	0.18	1.0	0.06	0.06	0.0	0.01	0.0	0.02	0.0	0.02	0.03	4.72
MetaPhyler 1.25	100.0	42.1	46.0	49.5	48.9	25.5	0.0	44.6	0.0	100.0	100.0	100.0	98.2	92.3	95.0	0.0	83.6	0.0	100.0	59.1	63.0	65.8	63.9	40.1		58.2		0.06	0.17	0.37	0.72	0.89	1.16		0.56		0.03	0.09	0.19	0.36	0.45	0.58		0.28		0.09	0.15	0.0	0.06	0.01	0.02		0.06		5.72
mOTUs 2.0.1_1	100.0	53.5	58.8	69.9	68.1	63.7	0.0	59.1	0.0	100.0	100.0	96.2	99.2	97.9	98.0	0.0	84.5	0.0	100.0	69.6	72.9	82.0	80.3	77.2		69.6		0.01	0.15	0.23	0.27	0.32	0.37		0.23		0.01	0.08	0.12	0.14	0.16	0.19		0.11		0.02	0.11	0.01	0.02	0.01	0.0		0.03		3.54
mOTUs 2.5.1_10	100.0	57.4	72.4	75.1	76.0	81.0	86.9	78.4	0.0	100.0	100.0	98.6	98.3	93.7	95.9	72.1	94.1	0.0	100.0	72.8	83.4	85.1	84.0	87.8	78.8	85.5		0.02	0.05	0.05	0.11	0.14	0.14	0.39	0.13		0.01	0.02	0.03	0.06	0.07	0.07	0.19	0.06		0.03	0.07	0.05	0.04	0.02	0.01	0.02	0.03		2.18
mOTUs 2.5.1_11	100.0	57.4	72.4	75.1	76.0	81.0	86.9	78.4	0.0	100.0	100.0	98.6	98.3	93.7	95.9	72.1	94.1	0.0	100.0	72.8	83.4	85.1	84.0	87.8	78.8	85.5		0.02	0.05	0.05	0.11	0.14	0.14	0.39	0.13		0.01	0.02	0.03	0.06	0.07	0.07	0.19	0.06		0.03	0.07	0.05	0.04	0.02	0.01	0.02	0.03		2.18
mOTUs 2.5.1_2	100.0	57.4	72.4	75.2	75.6	80.1	71.2	76.0	0.0	100.0	100.0	98.6	98.3	93.7	96.2	91.1	96.8	0.0	100.0	72.8	83.4	85.2	83.7	87.4	79.9	85.2		0.02	0.05	0.05	0.13	0.16	0.15	0.36	0.13		0.01	0.02	0.03	0.06	0.08	0.08	0.18	0.07		0.03	0.07	0.05	0.03	0.02	0.01	0.0	0.03		2.03
mOTUs 2.5.1_3	100.0	57.4	72.4	75.2	75.6	80.1	71.2	76.0	0.0	100.0	100.0	98.6	98.3	93.7	96.2	91.1	96.8	0.0	100.0	72.8	83.4	85.2	83.7	87.4	79.9	85.2		0.02	0.05	0.05	0.13	0.16	0.15	0.36	0.13		0.01	0.02	0.03	0.06	0.08	0.08	0.18	0.07		0.03	0.07	0.05	0.03	0.02	0.01	0.0	0.03		2.03
mOTUs 2.5.1_4	100.0	57.4	72.4	74.8	76.1	81.5	89.2	78.8	0.0	100.0	100.0	98.6	98.2	93.7	95.8	70.4	93.8	0.0	100.0	72.8	83.4	84.9	84.0	88.1	78.7	85.6		0.02	0.05	0.05	0.11	0.14	0.13	0.39	0.13		0.01	0.02	0.03	0.06	0.07	0.07	0.2	0.06		0.02	0.07	0.05	0.04	0.03	0.01	0.01	0.03		2.16
mOTUs 2.5.1_5	100.0	57.4	72.4	74.8	76.1	81.5	89.2	78.8	0.0	100.0	100.0	98.6	98.2	93.7	95.8	70.4	93.8	0.0	100.0	72.8	83.4	84.9	84.0	88.1	78.7	85.6		0.02	0.05	0.05	0.11	0.14	0.13	0.39	0.13		0.01	0.02	0.03	0.06	0.07	0.07	0.2	0.06		0.02	0.07	0.05	0.04	0.03	0.01	0.01	0.03		2.15
mOTUs 2.5.1_6	100.0	57.4	72.0	75.8	79.1	86.3	92.8	80.5	0.0	100.0	100.0	99.0	98.3	92.9	93.7	54.8	91.3	0.0	100.0	72.8	83.3	85.6	85.4	89.8	68.9	85.5		0.01	0.05	0.05	0.11	0.14	0.13	0.43	0.13		0.01	0.02	0.03	0.05	0.07	0.07	0.22	0.07		0.02	0.07	0.05	0.04	0.03	0.01	0.0	0.03		2.22
mOTUs 2.5.1_7	100.0	57.4	72.0	75.8	79.1	86.3	92.8	80.5	0.0	100.0	100.0	99.0	98.3	92.9	93.7	54.8	91.3	0.0	100.0	72.8	83.3	85.6	85.4	89.8	68.9	85.5		0.01	0.05	0.05	0.11	0.14	0.13	0.43	0.13		0.01	0.02	0.03	0.05	0.07	0.07	0.22	0.07		0.02	0.07	0.05	0.04	0.03	0.01	0.0	0.03		2.26
mOTUs 2.5.1_8	100.0	58.5	72.4	74.8	75.0	78.6	67.5	75.2	0.0	100.0	100.0	98.6	98.3	93.5	96.4	91.7	96.9	0.0	100.0	73.7	83.4	84.9	83.2	86.5	77.7	84.7		0.02	0.05	0.06	0.14	0.17	0.16	0.37	0.14		0.01	0.02	0.03	0.07	0.09	0.08	0.18	0.07		0.03	0.07	0.05	0.03	0.02	0.01	0.0	0.03		2.08
mOTUs 2.5.1_9	100.0	58.5	72.4	74.8	75.0	78.6	67.5	75.2	0.0	100.0	100.0	98.6	98.3	93.5	96.4	91.7	96.9	0.0	100.0	73.7	83.4	84.9	83.2	86.5	77.7	84.7		0.02	0.05	0.06	0.14	0.17	0.16	0.37	0.14		0.01	0.02	0.03	0.07	0.09	0.08	0.18	0.07		0.03	0.07	0.05	0.03	0.02	0.01	0.0	0.03		2.08
mOTUs cami1	100.0	56.5	66.4	64.9	56.5	50.8	48.5	63.4	0.0	100.0	100.0	100.0	96.0	95.2	98.0	84.0	96.2	0.0	100.0	72.1	79.7	77.4	70.9	66.9	61.5	76.4		0.14	0.24	0.3	0.6	0.79	0.86	0.97	0.56		0.07	0.12	0.15	0.3	0.4	0.43	0.49	0.28		0.17	0.15	0.08	0.02	0.01	0.02	0.01	0.07		6.09
NBC++	50.0	41.9	50.4	58.8	67.7	70.6	74.2	59.1	0.0	100.0	98.8	94.3	88.3	75.4	61.9	35.1	79.1	0.0	66.7	58.7	65.6	70.6	71.3	65.9	47.6	67.6		0.23	0.31	0.37	0.67	0.75	0.78	0.93	0.58		0.11	0.16	0.18	0.34	0.38	0.39	0.47	0.29		0.51	0.01	0.07	0.06	0.02	0.02	0.02	0.1		5.26
TIPP 4.3.10	100.0	53.7	74.5	67.9	70.9	55.1	34.9	65.3	0.0	100.0	91.7	93.0	71.1	50.4	27.9	13.7	64.0	0.0	100.0	67.6	82.6	69.4	58.9	37.0	19.7	64.6		0.03	0.18	0.38	0.73	0.89	1.03	1.41	0.66		0.02	0.09	0.19	0.37	0.44	0.52	0.71	0.33		0.01	0.08	0.01	0.03	0.07	0.08	0.04	0.05		8.12
TIPP cami1	100.0	51.4	74.9	83.4	77.7	57.4	37.3	68.9	0.0	100.0	100.0	88.1	70.4	51.7	29.5	14.8	64.9	0.0	100.0	67.7	80.9	76.3	62.1	39.0	21.1	66.8		0.04	0.15	0.21	0.58	0.71	0.83	1.28	0.54		0.02	0.07	0.11	0.29	0.36	0.42	0.64	0.27		0.06	0.12	0.04	0.01	0.03	0.05	0.02	0.05		5.97
Average	92.1	48.2	59.6	60.7	59.3	53.4	43.4	59.5	0.0	99.6	97.3	93.0	90.5	84.9	81.3	55.2	86.0	0.0	94.5	63.7	71.9	71.5	67.8	61.1	49.9	69.4		0.09	0.2	0.27	0.51	0.6	0.68	0.92	0.46	1.99	0.05	0.1	0.14	0.26	0.3	0.34	0.46	0.23	1.0	0.17	0.07	0.03	0.04	0.03	0.03	0.05	0.06	0.06	5.03
Standard error of the mean	4.3	1.9	2.5	2.8	3.3	4.3	6.2	2.8	0.0	0.4	1.3	2.2	2.5	3.9	5.9	7.6	2.9	0.0	2.8	1.8	2.2	2.2	2.8	4.4	5.5	2.5		0.02	0.02	0.03	0.05	0.06	0.07	0.1	0.04	0.0	0.01	0.01	0.01	0.02	0.03	0.04	0.05	0.02	0.0	0.04	0.01	0.01	0.0	0.01	0.01	0.01	0.01	0.03	0.39
Variance	350.9	70.2	114.8	147.3	207.9	354.9	741.0	145.0	0.0	2.4	34.6	88.6	118.9	288.0	650.5	1104.7	156.7	0.0	154.1	64.3	88.5	90.0	150.6	368.2	518.8	115.8		0.01	0.01	0.01	0.04	0.06	0.09	0.18	0.04	0.0	0.0	0.0	0.0	0.01	0.02	0.02	0.04	0.01	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.96
Standard deviation	18.7	8.4	10.7	12.1	14.4	18.8	27.2	12.0	0.0	1.5	5.9	9.4	10.9	17.0	25.5	33.2	12.5	0.0	12.4	8.0	9.4	9.5	12.3	19.2	22.8	10.8		0.07	0.08	0.12	0.21	0.25	0.31	0.42	0.19	0.0	0.04	0.04	0.06	0.11	0.12	0.15	0.21	0.1	0.0	0.17	0.05	0.02	0.02	0.02	0.03	0.06	0.04	0.07	1.72
