Assemblies	A-STAR_contig_hybrid	A-STAR_scaffold_hybrid	ABySS_short	HipMer_cgraph-ono_short	HipMer_cgraph_short	HipMer_Metagenome_short	Miniasm_GATB_hybrid	Megahit_v1.1.4-2_short	Megahit_v1.1.2_short	metaSPAdes_v3.13.0_short	metaSPAdes_v3.13.1_short	Ray-Meta_short	SPAdes_v3.14-dev_short	Flye_long	Megahit_V1.2.7-inhouse_short	metaSPAdes_v3.13.1-inhouse_short	OPERA-MS-inhouse_hybrid	pooled_short_gsa	pooled_long_gsa	pooled_hybrid_gsa
A_Hdes_3_S8_contigs	20.369	21.006	0.0	1.678	1.677	0.656	4.219	11.485	19.368	8.247	8.338	0.059	1.577	0.0	17.837	4.987	15.186	89.947	93.273	98.881
A15_S15_contigs	2.302	2.007	0.045	0.301	0.261	0.153	0.402	1.401	1.610	0.568	0.488	0.0	0.126	0.0	2.084	0.506	1.570	27.993	54.665	66.111
A16_S16_contigs	7.825	8.094	0.0	1.193	1.211	0.502	2.113	6.193	8.953	3.028	2.686	0.018	0.485	0.0	8.142	1.739	6.888	36.681	45.012	57.710
A1_S1_contigs	4.501	4.358	3.770	1.039	2.094	2.344	5.835	2.670	2.320	1.389	2.343	3.427	0.963	0.0	1.874	1.157	9.592	21.946	24.638	31.998
A22_S22_contigs	2.223	2.281	0.030	0.212	0.281	0.130	0.260	1.744	1.878	0.600	0.718	0.025	0.164	0.0	1.947	0.531	1.586	28.048	55.961	59.895
A25_S9_contigs	7.968	7.969	0.0	1.042	1.048	0.402	2.093	6.692	9.085	2.693	3.468	0.0	0.482	0.0	8.522	2.291	6.580	38.766	55.617	57.790
A2_S2_contigs	5.351	4.054	3.119	1.204	2.975	4.545	6.004	1.899	2.270	1.396	1.451	3.496	0.807	0.0	3.088	1.348	8.458	24.240	25.061	30.849
A3_S3_contigs	13.003	15.666	8.225	11.942	14.324	14.593	8.537	12.559	14.197	13.616	12.487	11.564	8.169	0.0	13.787	14.293	6.576	70.792	69.703	69.894
A4_S4_contigs	4.869	3.415	3.809	1.477	2.442	2.527	4.274	1.816	2.899	1.437	1.258	3.473	0.461	0.0	3.107	0.812	6.910	66.421	56.037	65.632
A5_S5_contigs	5.480	5.963	5.822	4.021	6.075	7.041	4.962	4.533	3.616	4.299	3.958	6.230	1.419	0.0	5.101	4.450	4.009	44.365	48.544	54.897
A6_S6_contigs	9.662	8.193	6.487	4.874	4.768	7.479	4.725	5.548	7.230	3.973	3.031	7.884	1.628	0.0	5.948	4.013	3.005	82.686	77.813	79.593
A7_S7_contigs	7.222	6.703	7.554	5.895	9.873	7.618	4.848	7.910	7.216	10.896	9.843	5.758	3.711	0.0	5.523	8.560	1.596	55.715	62.045	67.847
A8_S8_contigs	6.873	7.064	7.627	8.656	8.082	6.547	4.674	5.229	6.769	9.116	10.397	6.855	3.517	0.0	7.115	7.872	1.524	52.573	57.702	71.289
A9_2_S2_contigs	8.336	7.832	0.0	1.074	0.998	0.454	2.112	6.489	9.506	2.969	2.679	0.0	0.569	0.0	8.129	1.968	7.372	40.428	58.124	59.145
AW02J18_S11_contigs	99.789	99.784	99.642	99.657	99.619	99.549	95.677	99.708	99.766	99.541	99.586	99.551	99.623	0.0	99.374	99.703	99.387	99.992	99.888	99.993
AW19M33_S12_contigs	38.572	38.684	0.0	0.527	0.516	0.184	4.063	23.670	28.557	16.569	16.680	0.0	2.830	0.0	31.331	10.338	23.280	91.889	94.795	99.527
Acidobacteria_bacterium_Mor1_genomic	27.950	27.872	0.0	0.157	0.157	0.049	1.445	16.577	17.234	10.909	10.838	0.0	3.018	0.0	23.351	7.898	17.423	85.855	93.648	99.196
Aciduliprofundum_boonei_T469_genomic	80.747	80.699	0.0	6.752	6.472	3.638	31.037	55.922	68.047	60.088	60.320	0.057	11.872	0.0	79.691	50.000	49.999	98.936	99.044	99.996
Aciduliprofundum_sp_MAR08_339_genomic	92.469	92.590	0.0	25.477	24.817	18.202	65.520	74.435	86.834	84.386	84.409	1.011	26.037	0.0	92.716	76.927	72.993	99.769	99.714	99.997
Acinetobacter_venetianus_VE_C3_genomic	95.872	95.940	0.102	80.220	79.262	74.309	91.506	91.701	95.843	93.743	93.752	24.922	47.056	0.0	95.427	92.311	93.837	99.984	99.921	99.999
Actinoalloteichus_hymeniacidonis_strain_HPA177_DSM_45092_genomic	2.767	2.739	0.0	0.0	0.0	0.0	0.012	1.882	1.021	0.686	0.786	0.0	0.335	0.0	1.804	0.665	1.276	42.181	72.947	85.164
Actinoalloteichus_sp_ADI127_7_genomic	63.829	73.645	0.0	11.675	11.198	7.347	36.973	46.467	60.848	47.295	47.430	0.170	11.225	0.0	61.353	32.817	43.684	94.210	99.537	99.996
Actinoalloteichus_sp_GBA129_24_genomic	25.243	15.291	0.0	6.193	6.086	4.315	17.922	22.144	24.175	23.374	23.336	0.116	5.505	0.0	24.796	17.168	16.420	17.033	47.796	55.152
Aeromonas_salmonicida_subsp_salmonicida_A449_genomic	60.378	61.864	0.866	89.688	90.166	85.732	45.723	84.794	89.279	91.840	91.874	87.994	86.316	0.0	79.250	82.016	89.285	99.998	99.968	99.998
Aeropyrum_camini_SY1_JCM_12091_genomic	99.805	99.781	0.0	99.755	99.719	99.745	99.643	99.654	99.957	99.721	99.721	94.434	85.703	0.0	99.931	99.718	99.903	99.999	99.984	99.999
Aeropyrum_pernix_K1_genomic	3.608	3.627	0.0	0.0	0.0	0.0	0.0	2.989	1.165	0.763	0.804	0.0	0.285	0.0	3.419	0.924	2.417	43.678	74.859	87.653
Agarivorans_gilvus_strain_WH0801_genomic	76.975	77.171	0.021	7.105	6.868	3.807	28.608	51.449	64.017	55.577	55.528	0.222	8.647	0.0	74.191	44.324	52.222	98.908	99.353	99.994
Agrococcus_jejuensis_strain_DSM_22002_genomic	11.197	11.158	0.0	0.019	0.019	0.0	0.460	7.967	9.385	3.816	3.655	0.002	1.270	0.0	8.003	2.647	5.927	74.834	89.430	97.940
Alcanivorax_borkumensis_SK2_genomic	3.336	3.331	0.0	0.048	0.022	0.027	0.0	2.561	1.349	1.130	1.076	0.019	0.272	0.0	2.720	0.939	1.752	42.831	73.441	86.131
Alcanivorax_dieselolei_B5_genomic	0.055	0.038	0.0	0.0	0.0	0.0	0.0	0.042	0.018	0.011	0.005	0.0	0.013	0.0	0.043	0.027	0.021	3.615	29.793	33.150
Alcanivorax_sp_W11_5_genomic	18.227	18.208	0.0	0.052	0.094	0.038	0.835	11.273	11.811	6.890	6.842	0.0	1.251	0.0	15.552	4.829	11.292	79.001	90.331	98.186
Algibacter_sp_HZ22_genomic	96.277	96.261	3.581	99.265	99.252	99.009	93.852	99.088	99.141	99.074	99.082	98.267	99.161	0.0	98.975	99.045	98.543	100.000	99.990	100.000
Aliivibrio_salmonicida_LFI1238_genomic	19.539	21.446	8.880	18.667	15.055	9.797	18.215	13.932	14.420	15.675	12.151	10.568	45.359	0.0	8.329	10.178	4.153	68.615	95.855	99.903
Aliivibrio_wodanis_genomic	7.443	6.315	0.609	5.357	4.858	3.373	5.088	4.997	5.698	3.307	3.030	2.220	3.928	0.0	5.025	3.637	4.406	83.487	99.203	99.984
Altererythrobacter_atlanticus_strain_26DY36_genomic	0.895	0.876	0.0	0.0	0.0	0.0	0.035	0.820	0.297	0.203	0.196	0.0	0.085	0.0	0.691	0.219	0.501	21.179	57.381	68.316
Altererythrobacter_dongtanensis_strain_KCTC_22672_genomic	8.102	8.057	0.0	0.017	0.017	0.0	0.083	5.031	4.165	2.582	2.609	0.0	0.621	0.0	6.437	1.828	4.494	62.861	83.842	94.798
Altererythrobacter_epoxidivorans_CGMCC_17731_genomic	18.347	18.313	0.0	0.0	0.0	0.020	0.573	11.089	11.132	5.852	5.821	0.0	1.230	0.0	15.493	4.521	11.222	80.143	91.971	98.484
Altererythrobacter_ishigakiensis_strain_NBRC_107699_genomic	49.227	49.375	0.0	0.788	0.770	0.244	5.698	28.964	33.674	26.488	26.551	0.005	3.498	0.0	44.864	20.106	33.014	93.932	96.957	99.740
Altererythrobacter_marensis_strain_KCTC_22370_genomic	63.439	63.612	0.0	3.055	2.902	1.236	15.952	39.726	52.893	36.228	36.214	0.002	6.647	0.0	56.701	23.234	41.919	97.784	98.759	99.961
Altererythrobacter_namhicola_strain_JCM_16345_genomic	94.480	94.792	0.0	39.467	38.249	29.958	74.571	80.703	93.232	82.518	82.631	1.430	15.956	0.0	93.220	66.276	73.839	99.931	99.899	99.996
Alteromonas_australica_DE170_genomic	76.570	78.074	0.076	12.079	11.688	7.441	41.110	50.740	68.856	57.891	57.683	0.531	10.910	0.0	73.685	47.396	49.620	98.404	99.064	99.993
Alteromonas_australica_H_17_genomic	5.682	3.953	0.0	1.283	1.320	0.776	2.414	5.914	6.129	4.989	5.199	0.014	1.312	0.0	4.861	4.531	4.470	45.027	74.114	86.043
Alteromonas_macleodii_ATCC_27126_genomic	44.768	45.118	2.917	53.546	52.575	47.218	30.465	48.275	55.067	20.307	20.236	21.289	22.477	0.0	33.098	27.707	30.271	100.000	99.994	100.000
Alteromonas_macleodii_AltDE1_genomic	18.913	20.882	3.866	6.658	6.351	6.778	6.324	12.461	9.493	6.219	6.600	3.922	5.571	0.314	9.390	7.565	3.900	35.761	33.477	31.420
Alteromonas_macleodii_str_Aegean_Sea_MED64_genomic	72.101	71.218	21.535	32.473	30.882	26.638	28.114	39.027	39.047	37.475	36.628	22.814	29.797	0.0	32.908	38.595	11.569	100.000	99.998	100.000
Alteromonas_macleodii_str_Balearic_Sea_AD45_genomic	75.019	74.550	13.485	83.133	86.222	78.227	35.696	73.412	79.932	74.036	74.607	57.704	74.649	0.0	74.019	80.606	32.517	100.000	99.994	100.000
Alteromonas_macleodii_str_Black_Sea_11_genomic	76.696	76.674	0.338	84.930	86.390	81.837	46.612	80.508	86.148	42.693	42.403	56.505	43.529	0.0	77.260	56.321	73.451	100.000	99.996	100.000
Alteromonas_macleodii_str_Deep_ecotype_genomic	24.973	24.817	2.500	10.578	10.380	9.583	11.500	13.252	15.596	11.609	11.766	4.843	4.841	0.0	13.254	11.550	9.136	99.473	99.982	100.000
Alteromonas_macleodii_str_English_Channel_615_genomic	25.565	25.450	1.773	6.810	6.969	5.692	10.534	13.037	13.070	9.579	9.237	2.930	2.811	0.0	12.641	8.991	9.024	99.958	99.873	99.998
Alteromonas_macleodii_str_English_Channel_673_genomic	3.631	3.465	0.575	2.139	2.041	2.094	2.284	2.736	2.807	1.011	0.764	0.843	1.235	0.0	1.498	1.244	2.387	11.631	47.078	54.527
Alteromonas_macleodii_str_Ionian_Sea_U4_genomic	34.081	32.932	8.105	17.219	13.656	12.116	13.510	18.023	22.018	17.978	15.987	10.266	13.416	0.255	14.800	15.167	7.610	95.172	96.102	99.996
Alteromonas_macleodii_str_Ionian_Sea_U7_genomic	32.339	34.087	7.917	9.767	11.884	8.326	9.361	15.061	15.037	10.171	11.186	7.075	7.887	0.0	11.404	13.814	3.951	2.225	16.714	16.953
Alteromonas_macleodii_str_Ionian_Sea_U8_genomic	37.362	36.402	11.300	16.084	14.930	14.334	14.799	16.797	16.090	14.918	13.657	10.393	12.347	0.339	15.045	14.861	5.957	99.999	99.996	100.000
Alteromonas_macleodii_str_Ionian_Sea_UM4b_genomic	20.970	21.873	3.353	14.062	12.667	10.163	8.109	11.319	13.235	8.847	10.104	9.395	8.229	0.0	11.295	10.561	7.178	99.436	99.994	100.000
Alteromonas_macleodii_str_Ionian_Sea_UM7_genomic	23.292	20.389	3.636	8.057	6.632	7.505	8.093	6.353	10.141	9.848	8.046	8.340	8.151	0.0	5.892	9.403	3.917	51.494	90.576	95.239
Alteromonas_mediterranea_strain_AR43_genomic	13.071	16.210	0.557	9.557	8.830	6.655	3.657	7.263	8.875	4.107	3.950	5.312	3.544	0.0	8.357	6.180	4.876	17.528	35.937	40.671
Alteromonas_mediterranea_strain_CP48_genomic	83.018	83.492	37.827	58.704	51.302	46.339	39.187	55.609	61.875	34.345	39.930	31.870	59.723	0.483	36.967	38.230	22.762	100.000	99.998	100.000
Alteromonas_mediterranea_strain_CP49_genomic	24.311	23.401	2.592	8.288	8.518	8.051	3.537	8.406	7.742	7.321	4.712	11.082	3.940	0.0	12.564	2.274	5.330	99.998	99.980	99.998
Alteromonas_mediterranea_strain_RG65_genomic	18.798	19.236	0.896	5.243	5.242	4.395	11.801	11.158	13.639	9.830	9.888	2.166	2.693	0.0	13.243	9.168	10.080	99.924	99.965	99.995
Alteromonas_sp_Mex14_genomic	9.852	9.880	0.015	0.038	0.020	0.013	0.186	5.577	5.308	2.347	2.400	0.0	0.313	0.0	7.412	1.807	6.361	71.881	87.786	97.166
Alteromonas_sp_RW2A1_genomic	91.315	91.048	0.610	97.113	97.078	95.904	46.736	96.250	95.739	93.286	93.373	91.918	91.183	0.0	95.199	95.055	95.025	100.000	99.990	100.000
Alteromonas_sp_SN2_genomic	1.204	1.225	0.012	0.104	0.129	0.050	0.201	1.029	0.478	0.242	0.242	0.053	0.406	0.0	0.975	0.251	0.561	32.067	66.697	78.626
Alteromonas_stellipolaris_LMG_21856_genomic	4.756	3.171	0.0	4.918	5.368	4.671	1.758	5.260	3.096	3.557	3.625	2.636	3.629	0.0	3.278	4.237	1.884	22.735	46.451	51.407
Alteromonas_stellipolaris_strain_PQQ_42_genomic	6.337	5.485	0.0	5.861	6.160	6.882	1.962	8.964	4.059	3.686	4.377	2.955	4.937	0.0	4.009	5.421	3.852	52.756	81.388	92.054
Alteromonas_stellipolaris_strain_PQQ_44_genomic	88.479	90.674	0.0	68.746	66.727	61.310	86.961	80.118	91.989	87.650	86.918	21.228	41.518	0.0	91.239	83.308	91.884	99.981	99.943	99.998
Arcanobacterium_phocae_strain_DSM_10002_genomic	69.997	69.983	0.0	3.906	3.658	2.412	18.377	43.417	51.978	47.492	47.427	0.249	6.310	0.0	68.241	40.323	48.896	97.918	98.549	99.984
Archaeoglobus_fulgidus_DSM_4304_genomic	27.739	27.206	1.876	4.016	0.982	0.849	9.197	6.774	5.656	4.083	4.156	0.323	1.081	0.0	10.125	3.649	4.171	98.578	99.480	99.997
Archaeoglobus_fulgidus_DSM_8774_genomic	93.418	93.280	2.870	96.798	99.571	98.862	35.938	97.275	99.296	99.039	98.954	98.000	99.695	0.0	94.454	99.094	99.595	100.000	99.981	100.000
Archaeoglobus_profundus_DSM_5631_genomic	54.627	54.740	0.0	1.231	1.231	0.424	7.426	30.210	36.301	31.745	31.882	0.0	6.125	0.0	52.523	26.173	38.213	94.341	96.422	99.864
Archaeoglobus_veneficus_SNP6_genomic	8.206	8.206	0.0	0.069	0.069	0.042	0.153	5.218	3.029	2.855	2.870	0.042	1.169	0.0	7.115	2.537	5.367	56.597	80.519	92.652
Arthrobacter_sp_PAMC25486_genomic	0.461	0.446	0.0	0.0	0.0	0.0	0.0	0.394	0.117	0.161	0.150	0.0	0.095	0.0	0.349	0.136	0.250	15.568	51.882	60.628
B9_25K2_S3_contigs	53.541	53.615	0.0	1.339	1.338	0.453	8.025	31.034	38.858	29.855	29.772	0.0	7.076	0.0	50.521	23.019	37.289	95.064	96.585	99.785
Bacillus_infantis_NRRL_B_14911_genomic	98.778	98.788	0.041	98.343	98.227	98.010	96.538	98.595	98.948	98.699	98.693	88.467	79.939	0.0	98.738	98.764	98.924	100.000	99.976	100.000
Bacillus_safensis_strain_KCTC_12796BP_genomic	4.811	3.574	0.0	1.278	1.023	1.207	2.973	1.568	0.782	1.245	1.238	1.105	2.185	0.0	1.958	1.334	0.871	57.956	83.222	93.913
Bacillus_sp_Alg07_genomic	15.393	15.387	0.0	0.104	0.125	0.067	0.556	9.522	8.124	6.120	6.101	0.012	1.165	0.0	13.644	4.337	10.586	73.039	88.129	97.327
Bacillus_sp_Pc3_genomic	83.034	84.619	0.015	11.890	11.370	6.744	47.283	51.163	72.778	66.321	66.149	0.154	15.790	0.0	80.735	54.047	51.535	98.730	99.335	99.988
Bacillus_velezensis_strain_9912D_genomic	6.498	4.623	0.0	0.651	0.718	0.319	2.441	5.982	5.378	4.592	4.582	0.070	0.699	0.0	5.091	4.424	4.832	64.119	84.060	94.905
Bacteriovorax_marinus_SJ_genomic	85.944	86.264	0.0	10.321	9.939	5.910	39.166	60.040	73.908	67.250	67.187	0.109	10.885	0.0	84.728	55.326	56.966	99.286	99.721	99.994
Bdellovibrio_bacteriovorus_strain_109J_genomic	99.762	99.789	0.0	76.876	75.799	70.795	95.872	94.945	99.123	98.780	98.792	17.382	47.837	0.0	99.541	97.363	99.336	99.992	99.976	99.999
Belliella_baltica_DSM_15883_genomic	40.506	40.567	0.019	1.030	0.979	0.731	4.389	23.946	25.754	19.815	19.728	0.393	3.635	0.0	36.315	15.404	27.942	91.432	96.058	99.690
Brucella_ceti_TE10759_12_genomic	40.734	42.805	0.0	51.450	49.007	41.317	37.312	40.861	48.096	43.616	45.052	41.061	42.640	0.0	47.675	50.041	40.625	99.874	99.966	99.997
Brucella_ceti_TE28753_12_genomic	28.484	20.126	0.042	5.600	8.297	13.891	2.139	5.384	0.398	2.162	1.852	11.404	13.313	0.0	5.705	4.024	1.906	75.581	96.438	99.808
Brucella_pinnipedialis_B2_94_genomic	45.081	51.960	0.053	43.955	43.347	44.657	36.508	54.828	51.676	53.888	52.879	43.944	40.622	0.0	47.084	46.690	57.737	99.987	99.945	99.996
Brucella_sp_141012304_genomic	13.681	12.571	0.015	0.771	0.779	0.548	3.015	7.989	8.897	5.114	5.054	0.095	2.136	0.0	8.833	4.114	6.066	98.336	98.817	99.986
Caldithrix_abyssi_DSM_13497_genomic	94.432	94.485	0.185	65.967	64.681	58.176	87.709	87.082	93.536	91.127	91.170	10.536	39.258	0.0	94.077	88.148	89.805	99.994	99.968	100.000
Campylobacter_lari_strain_Slaughter_Beach_genomic	34.289	34.057	0.0	1.580	1.580	0.736	4.809	25.485	26.865	16.615	16.662	0.043	6.819	0.0	29.382	11.006	21.005	93.548	97.078	99.873
Campylobacter_peloridis_LMG_23910_genomic	60.807	60.829	0.0	7.131	6.938	4.098	25.753	43.943	53.999	39.077	38.979	0.911	7.621	0.0	55.099	25.254	39.462	98.495	99.010	99.963
Candidatus_Aquiluna_sp_UB_MaderosW2red_genomic	92.815	93.249	0.0	21.829	20.691	14.963	57.651	70.785	84.189	82.129	81.976	0.384	15.540	0.0	92.307	73.509	60.075	99.734	99.747	99.994
Candidatus_Atelocyanobacterium_thalassa_isolate_ALOHA_genomic	97.264	97.306	0.0	93.315	92.614	90.650	97.751	98.022	99.052	98.932	98.920	49.588	69.008	0.0	99.434	97.622	99.418	99.997	99.967	99.997
Candidatus_Endolissoclinum_faulkneri_L5_genomic	99.865	99.861	99.396	99.819	99.908	99.949	76.808	99.962	99.136	99.908	99.908	99.150	99.740	0.0	99.240	99.975	99.853	100.000	99.995	100.000
Candidatus_Endolissoclinum_patella_L2_genomic	99.999	99.999	85.322	99.946	99.910	99.788	57.665	99.809	99.956	99.749	99.809	99.798	99.725	0.0	99.476	99.721	99.901	99.999	99.991	99.999
Candidatus_Gloeomargarita_lithophora_D10_genomic	91.709	91.711	0.0	98.788	98.680	98.469	85.260	99.015	99.324	98.972	99.001	94.149	90.467	0.0	98.651	99.029	99.264	99.921	99.991	100.000
Candidatus_Nitrosoarchaeum_limnia_SFB1_genomic	99.592	99.592	94.835	99.595	99.559	99.540	87.623	99.385	99.593	99.568	99.567	96.708	99.923	0.0	99.521	99.590	99.434	99.669	99.992	99.992
Candidatus_Nitrosopelagicus_brevis_CN25_genomic	95.287	95.216	0.0	42.731	41.543	34.244	81.534	83.228	94.874	89.238	89.222	2.366	31.906	0.0	95.764	77.381	77.762	99.985	99.899	99.998
Candidatus_Nitrosopumilus_koreensis_AR1_genomic	0.286	0.276	0.0	0.039	0.039	0.0	0.0	0.260	0.133	0.093	0.051	0.0	0.054	0.0	0.206	0.062	0.185	16.148	51.784	61.036
